Rank,Song,Artist,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,YTD Audio
1,All I Want For Christmas Is You,Mariah Carey,,1,1,1,173,"145,255,296"
2,It's The Most Wonderful Time Of The Year,Andy Williams,COL,2,2,2,52,"105,730,569"
3,Jingle Bell Rock,Bobby Helms,INT,2,3,3,158,"104,452,499"
4,A Holly Jolly Christmas,Burl Ives,INT,4,4,4,157,"99,896,291"
5,Rockin' Around The Christmas Tree,Brenda Lee,MCAN,3,5,5,157,"93,272,182"
6,The Christmas Song,Nat King Cole,CAP,6,6,6,157,"91,518,184"
7,Last Christmas,Wham!,,5,7,7,155,"84,280,368"
8,Sleigh Ride,Ronettes,LEGC,8,8,9,157,"75,806,051"
9,It's Beginning To Look Like Christmas,Perry Como,RCA,9,9,10,30,"72,149,677"
10,White Christmas,Bing Crosby,INT,9,10,11,136,"70,639,291"
11,Rudolph The Red-nosed Reindeer,Gene Autry,COL,6,14,15,157,"70,460,208"
12,"Let It Snow, Let It Snow, Let It Snow",Dean Martin,CAP,11,11,13,157,"70,396,227"
13,Here Comes Santa Claus (down Santa Claus Lane),Gene Autry,CLNV,12,13,12,15,"69,786,097"
14,Hallelujah,Pentatonix,RCA,1,12,8,117,"69,311,816"
15,(there's No Place Like) Home For The Holidays,Perry Como,RCA,15,15,16,111,"65,962,037"
16,Blue Christmas,Elvis Presley,RCA,11,16,14,157,"65,601,644"
17,Underneath The Tree,Kelly Clarkson,RCA,17,17,17,157,"62,183,727"
18,Have Yourself A Merry Little Christmas,Michael Buble,WAR,18,20,21,157,"62,115,905"
19,Jingle Bells,Frank Sinatra,CAP,9,18,18,157,"61,904,670"
20,Feliz Navidad,Jose Feliciano,SML,10,19,19,157,"61,750,162"
21,Happy X-mas (war Is Over),John Lennon,CAP,20,21,20,134,"60,781,234"
22,Wonderful Christmas Time,Paul McCartney,CAP,21,22,22,157,"60,761,027"
23,Baby It's Cold Outside,Dean Martin,CAP,23,23,25,157,"57,137,777"
24,Christmas (baby Please Come Home),Darlene Love,LEGC,24,24,27,96,"56,258,039"
25,It's Beginning To Look A Lot Like Christmas,Michael Buble,WAR,5,25,23,164,"54,127,658"
26,Santa Tell Me,Ariana Grande,R-RR,5,26,24,165,"51,038,682"
27,Cozy Little Christmas,Katy Perry,,27,27,30,7,"50,949,217"
28,Frosty The Snowman,Jimmy Durante,UME,28,28,32,99,"48,372,016"
29,Run Rudolph Run,Chuck Berry,INT,18,30,34,157,"46,776,666"
30,Santa Baby,Eartha Kitt,RCA,12,29,26,157,"45,970,518"
31,Please Come Home For Christmas,Eagles,EEG,27,31,31,157,"45,520,795"
32,Mistletoe,Justin Bieber,DEF,5,32,28,170,"44,165,157"
33,Little Saint Nick,Beach Boys,CAP,22,33,35,157,"44,046,277"
34,Do They Know It's Christmas?,Band Aid,,18,34,29,57,"41,683,727"
35,O Tannenbaum,Vince Guaraldi Trio,,35,35,41,34,"41,473,998"
36,Winter Wonderland,Darlene Love,LEGC,36,36,45,9,"40,690,595"
37,I'll Be Home For Christmas,Bing Crosby,INT,37,37,49,17,"40,367,976"
38,Silver Bells,Andy Williams,COL,38,38,43,14,"40,358,975"
39,Happy Holiday/the Holiday Season,Andy Williams,COL,38,39,38,45,"39,685,249"
