Rank,Song,Artist,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,YTD Audio
40,The Little Drummer Boy,Bing Crosby,CAP,35,40,39,55,"39,166,290"
41,Christmas Time Is Here,Vince Guaraldi Trio,,4,41,37,55,"38,318,941"
42,The Christmas Song,Lauren Daigle,CNTR,42,43,60,4,"37,538,334"
43,Deck The Halls,Nat King Cole,CAP,36,42,40,69,"37,087,019"
44,Do You Hear What I Hear,Andy Williams,COL,44,44,47,9,"35,771,622"
45,What Christmas Means To Me,John Legend,COL,32,45,33,7,"34,536,349"
46,Merry Christmas Darling,Carpenters,AAM,28,46,54,157,"34,273,442"
47,O Come All Ye Faithful,Nat King Cole,CAP,47,47,50,8,"33,992,472"
48,"You're A Mean One, Mr. Grinch",Thurl Ravenscroft,MERN,17,48,46,157,"32,434,214"
49,The Twelve Days Of Christmas,Ray Conniff,COL,49,50,57,8,"32,190,101"
50,The Christmas Waltz,Frank Sinatra,CAP,50,51,59,111,"31,898,348"
51,The First Noel,Andy Williams,COL,51,52,56,8,"31,701,918"
52,Santa Claus Is Comin' To Town,Jackson 5,MOT,20,49,42,157,"31,513,640"
53,Hark! The Herald Angels Sing/g,Mariah Carey,COL,53,53,55,20,"31,428,510"
54,Do You Want To Build A Snowman?,"Kristen Bell, Agatha Lee Monn & Katie Lopez",DBV,26,54,36,4,"30,691,423"
55,Holly Jolly Christmas,Michael Buble,WAR,17,55,48,157,"29,964,173"
56,"Mary, Did You Know?",Pentatonix,RCA,7,56,44,61,"29,874,734"
57,Merry Christmas Baby (masterto,Otis Redding,,57,57,58,5,"29,765,976"
58,"Let It Snow, Let It Snow, Let It Snow",Frank Sinatra,,23,58,53,157,"27,865,029"
59,"Merry Christmas, Happy Holidays",'N Sync,RCA,58,60,61,34,"27,570,728"
60,This Christmas,Donny Hathaway,ATLG,36,59,52,157,"27,343,543"
61,"Nutcracker Suite, Op.71a: Danc",Rostropovich & Bpo,DGG,61,61,74,26,"26,805,023"
62,Linus & Lucy,Vince Guaraldi Trio,,17,62,62,105,"25,041,007"
63,Christmas Eve/sarajevo 12/24,Trans-Siberian Orchestra,ATLG,34,63,64,157,"23,200,786"
64,I'll Be Home For Christmas (2011),Michael Buble,WAR,42,64,65,129,"22,865,621"
65,You Make It Feel Like Christmas,Gwen Stefani,INT,65,65,71,34,"22,781,008"
66,Christmas (baby Please Come Home),Michael Buble,WAR,21,66,66,157,"22,644,987"
67,Ghostbusters,Ray Parker Jr.,RCA,2,67,51,168,"22,500,464"
68,I Saw Mommy Kissing Santa Claus,Jackson 5,MOT,24,68,67,55,"21,737,742"
69,Where Are You Christmas,Faith Hill,INT,46,69,63,132,"21,643,991"
70,Santa Claus Is Comin' To Town,Bruce Springsteen,COL,59,70,72,137,"21,334,093"
71,Santa Claus Is Coming To Town,Michael Buble,,25,71,70,147,"21,322,169"
72,Have Yourself A Merry Little Christmas,Judy Garland,INT,69,72,75,13,"21,282,255"
73,Carol Of The Bells,John Williams,SBSM,37,73,69,121,"20,858,745"
74,Have Yourself A Merry Little Christmas,Sam Smith,CAP,58,74,73,34,"20,583,773"
75,Christmas (baby Please Come Home),Mariah Carey,COL,75,75,76,54,"20,133,289"
76,What Christmas Means To Me,Stevie Wonder,MOT,76,76,,2,"19,997,158"
77,"Baby, It's Cold Outside",Brett Eldredge Feat. Meghan Trainor,ATLG,74,77,77,5,"19,570,055"
78,Jingle Bells,Michael Buble Feat. The Puppin,,19,78,78,136,"18,775,195"
79,Winter Wonderland,Bing Crosby,CAP,46,79,79,41,"18,439,503"
80,Mistletoe And Holly,Frank Sinatra,CAP,45,80,80,147,"18,428,275"
81,Little Drummer Boy,Pentatonix,RCA,20,83,82,157,"17,656,984"
82,Here Comes Santa Claus (right Down Santa Claus Lane),Elvis Presley,RCA,69,82,88,30,"17,546,089"
83,It's Beginning To Look A Lot L,Bing Crosby,INT,78,81,81,38,"17,450,912"
84,Hallelujah,Tori Kelly,R-RR,3,84,68,105,"17,099,419"
85,Joy To The World,Nat King Cole,CAP,82,85,86,35,"17,058,818"
86,White Christmas,Michael Buble Duet With Shania Twain,,67,86,84,32,"16,572,492"
87,Santa Baby,Ariana Grande Feat. Liz Gillies,R-RR,57,87,83,110,"16,500,708"
88,Hawaiian Christmas Song (mele Kalikimaka),Bing Crosby & The Andrews Sisters,UNIV,30,88,89,80,"16,423,145"
89,Cold December Night,Michael Buble,WAR,33,90,85,157,"16,022,319"
90,Do You Hear What I Hear?,Bing Crosby,CAP,49,89,91,60,"15,990,481"
91,O Holy Night,Josh Groban,WAR,91,96,,2,"15,606,371"
92,Rudolph The Red-nosed Reindeer,Burl Ives,INT,55,91,92,76,"15,522,368"
93,All I Want For Christmas Is You,Michael Buble,,16,92,90,157,"15,383,876"
94,All Through The Night,Perry Como,RCA,93,93,96,21,"15,180,436"
95,Someday At Christmas,Stevie Wonder,MOT,95,97,102,71,"14,976,249"
96,Christmas Canon,Trans-Siberian Orchestra,LAVA,90,94,94,157,"14,969,813"
97,Santa's Coming For Us,Sia,,39,95,95,60,"14,855,556"
98,Have Yourself A Merry Little Christmas,Frank Sinatra,CAP,90,99,101,34,"14,183,883"
99,Silver Bells,Dean Martin,LEGC,76,98,99,24,"14,158,719"
100,Christmas Wrapping,Waitresses,ORCH,61,100,93,13,"14,038,516"
101,I'll Be Home,Meghan Trainor,EPIC,31,101,98,157,"13,811,494"
102,Baby It's Cold Outside,Idina Menzel Duet w/ Michael Buble,WAR,57,102,100,127,"13,525,621"
103,The Chipmunk Song (christmas Don't Be Late),Chipmunks,CAP,103,103,104,154,"13,347,330"
104,Last Christmas,Ariana Grande,,29,104,103,157,"13,144,332"
105,Winter Wonderland,Tony Bennett,,105,105,108,15,"12,583,175"
106,Step Into Christmas,Elton John,ISL,106,106,111,43,"12,184,961"
107,My Only Wish (this Year),Britney Spears,,107,107,107,49,"12,072,145"
108,Do You Hear What I Hear,Whitney Houston,SMCM,108,110,125,12,"11,978,418"
109,O Holy Night,Mariah Carey,COL,77,108,110,154,"11,973,878"
110,This Christmas,Christina Aguilera,RCA,109,109,112,6,"11,817,009"
111,Reindeer(s) Are Better Than People,Jonathan Groff,DBV,5,111,97,34,"11,625,902"
112,Candy Cane Lane,Sia,ATLG,112,114,127,29,"11,503,193"
113,Sleigh Ride,Ella Fitzgerald,VERV,99,112,118,44,"11,326,655"
114,That's Christmas To Me,Pentatonix,RCA,16,113,105,157,"11,224,698"
115,Sleigh Ride,Carpenters,UM3,99,115,117,20,"11,066,955"
116,Santa Buddy (santa Baby),Michael Buble,WAR,106,116,113,32,"11,027,351"
117,"O Come, All Ye Faithful",Pentatonix,RCA,11,117,109,114,"10,936,946"
118,Believe,Josh Groban,WAR,65,121,114,157,"10,857,030"
119,White Winter Hymnal,Pentatonix,RCA,11,119,106,157,"10,836,923"
120,The First Noel,Frank Sinatra,CAP,89,118,119,41,"10,835,474"
121,Silent Night,Michael Buble,,53,120,116,157,"10,807,028"
122,My Favorite Things,Tony Bennett,EPIC,54,123,124,69,"10,547,445"
123,Rockin' Around The Christmas Tree,Ingrid Michaelson Feat. Grace Vanderwaal,,123,125,139,4,"10,419,891"
124,Winter Wonderland/Don'T Worry Be Happy,Pentatonix Feat. Tori Kelly,RCA,18,124,115,157,"10,353,239"
125,Jingle Bell Rock From Daryl,Daryl Hall And John Oates,RCA,122,122,134,5,"10,350,216"
126,Up On The Housetop,Pentatonix,RCA,24,126,128,113,"10,280,306"
127,Christmas Lights,Coldplay,,40,127,123,157,"10,102,514"
128,White Christmas,Drifters,ATLG,88,128,129,83,"9,864,078"
129,Grown-up Christmas List,Pentatonix Feat. Kelly Clarkson,RCA,129,130,137,6,"9,842,493"
130,The First Noel,Josh Groban,WAR,111,133,150,22,"9,830,224"
131,Fairytale Of New York,Pogues,,81,129,133,155,"9,727,103"
132,God Rest Ye Merry Gentlemen,Pentatonix,RCA,12,132,121,114,"9,631,099"
133,All I Want For Christmas Is You (superfestive!),Justin Bieber Duet With Mariah Carey,,110,131,122,34,"9,628,159"
134,Happy Xmas (war Is Over),Josh Groban,WAR,52,137,156,35,"9,368,366"
135,I Want A Hippopotamus For Christmas,Gayla Peevey,ORCH,89,135,130,112,"9,312,327"
136,Winter Things,Ariana Grande,R-RR,5,134,126,157,"9,239,619"
137,Blue Christmas,Michael Buble,WAR,59,136,136,113,"9,126,419"
138,Santa Claus Is Coming To Town,Frank Sinatra,COL,42,138,147,113,"9,056,578"
139,One More Sleep,Leona Lewis,,139,139,143,11,"8,979,997"
140,Let It Snow! Let It Snow! Let It Snow!,Pentatonix,SMEI,140,141,144,34,"8,877,006"
141,Christmas In Hollis,Run-D.M.C.,RCA,74,142,140,154,"8,777,606"
142,I'll Be Home For Christmas,Pentatonix,RCA,27,143,132,114,"8,738,665"
143,Joy To The World,Whitney Houston,RCAI,85,140,120,8,"8,727,468"
144,Silent Night,Temptations,MOT,105,144,151,157,"8,710,953"
145,I'll Be Home For Christmas,Frank Sinatra,CAP,110,147,146,57,"8,579,568"
146,Dance Of The Sugar Plum Fairy,Pentatonix,RCA,14,148,135,157,"8,526,900"
147,Driving Home For Christmas,Chris Rea,,146,146,148,7,"8,524,642"
148,Have Yourself A Merry Little Christmas,Christina Aguilera,RCA,144,145,145,6,"8,523,224"
149,The Christmas Song (chestnuts Roasting On An Open Fire),Justin Bieber Feat. Usher,DEF,63,149,142,113,"8,311,635"
150,Grown Up Christmas List,Amy Grant,SPAG,71,151,158,22,"8,264,780"
151,(Everybody's Waitin' For) The Man With Bag,Kay Starr,CAP,134,150,153,14,"8,214,871"
152,"You're A Mean One, Mr. Grinch","Tyler, The Creator",,69,155,141,10,"8,148,145"
153,Rudolph The Red Nosed Reindeer,Dean Martin,CAP,153,153,174,4,"8,052,817"
154,Sleighride,Andy Williams,COL,133,152,154,12,"8,046,426"
155,Bring Me Love,John Legend,,154,154,165,5,"7,947,757"
156,Where Are You Christmas?,Pentatonix,RCA,156,156,162,5,"7,938,014"
157,Run Run Rudolph,Kelly Clarkson,RCA,96,162,179,33,"7,831,405"
158,O Holy Night,Nat King Cole,CAP,158,159,169,13,"7,819,042"
159,Santa Claus Is Comin' To Town,Mariah Carey,,92,157,155,30,"7,792,166"
160,Sleigh Ride,Johnny Mathis,COL,158,158,168,7,"7,753,214"
161,It's Beginning To Look A Lot Like Christmas,Johnny Mathis,,108,160,166,9,"7,690,446"
162,Winter Wonderland,Michael Buble,,160,161,160,8,"7,653,713"
163,December,Ariana Grande,R-RR,3,163,149,157,"7,647,040"
164,Hallelujah,Brett Young,BMX,12,164,131,9,"7,621,241"
165,What Child Is This?,Vince Guaraldi Trio,,114,167,177,38,"7,581,060"
166,Silent Night,Carpenters,UM3,137,165,171,14,"7,504,957"
167,All I Want For Christmas Is You (extra Festive),Mariah Carey,,164,166,164,6,"7,461,548"
168,Light Of The World,Lauren Daigle,CNTR,30,169,152,148,"7,447,911"
169,Silent Night,Frank Sinatra,CAP,168,168,178,7,"7,442,266"
170,This Christmas,Chris Brown,RCA,43,170,172,157,"7,393,091"
171,Christmas Is Coming,Vince Guaraldi Trio,,171,172,176,15,"7,379,099"
172,Ave Maria,Michael Buble,WAR,80,171,167,157,"7,334,478"
173,Drummer Boy,Justin Bieber Feat. Busta Rhymes,DEF,33,173,163,129,"7,291,396"
174,O Holy Night,Luke Bryan,CAPN,174,181,,2,"7,206,640"
175,Shake Up Christmas,Train,,111,174,185,55,"7,199,944"
176,The Little Drummer Boy,Harry Simeone Chorale,UME,175,175,182,4,"7,137,464"
177,Mis Deseos/feliz Navidad,Michael Buble Duet W/Thalia,,91,178,180,131,"7,104,738"
178,Santa Diss Track,Logan Paul,INDI,4,176,138,53,"7,074,989"
179,Thank God It's Christmas,Queen,,177,177,193,3,"7,049,555"
180,Santa Claus Is Comin' To Town,Bing Crosby & The Andrews Sisters,GEFN,180,182,,2,"7,026,782"
181,God Rest Ye Merry Gentlemen,Bing Crosby,INT,119,180,189,15,"7,011,241"
182,What Child Is This?/the Holly,Bing Crosby,CAP,131,179,183,14,"7,010,857"
183,Frosty The Snowman,Bing Crosby,CAP,183,186,188,4,"6,976,982"
184,Up On The Housetop,Gene Autry,CLNV,184,185,186,4,"6,961,469"
185,Santa Baby,Kylie Minogue,,183,183,200,3,"6,944,655"
186,The Happiest Christmas Tree,Nat King Cole,CAP,135,184,191,13,"6,941,444"
187,Dominick The Donkey,Lou Monte,INDI,148,188,198,9,"6,940,372"
188,Making Christmas,Pentatonix,,188,191,195,3,"6,932,328"
189,Frosty The Snow Man,Ella Fitzgerald,VERV,187,187,,3,"6,898,350"
190,Snowman,Sia,ATLG,40,190,173,59,"6,895,893"
191,O Little Town Of Bethlehem,Elvis Presley,RCA,167,189,197,6,"6,880,924"
192,St. Brick Intro,Gucci Mane,ATLG,1,192,157,111,"6,875,373"
193,Carol Of The Bells,Pentatonix,RCA,26,194,170,157,"6,785,600"
194,Deck The Halls,Mannheim Steamroller,AMG,193,193,194,3,"6,780,366"
195,Wrapped In Red,Kelly Clarkson,RCA,147,195,199,10,"6,693,080"
196,Sleigh Ride,Pentatonix,RCA,28,196,175,157,"6,645,576"
197,Jingle Bell Rock,Glee Cast,,150,197,181,11,"6,628,425"
198,O Tannenbaum,Nat King Cole,CAP,192,198,,3,"6,558,288"
199,What Christmas Means To Me,Pentatonix,,196,,196,4,"6,547,280"
200,We Wish You A Merry Christmas,John Denver & The Muppets,,199,199,,2,"6,542,364"
