Rank,Song,Artist,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,YTD Audio
52,Up On The Housetop,Pentatonix,RCA,52,58,82,8,"7,132,168"
53,Mistletoe And Holly,Frank Sinatra,CAP,53,63,66,52,"7,043,202"
54,Silent Night,Michael Buble,WAR,53,54,53,52,"6,898,741"
55,Last Christmas,Ariana Grande,R-RR,29,52,48,52,"6,838,554"
56,Underneath The Tree,Kelly Clarkson,RCA,56,60,65,52,"6,815,523"
57,It's Beginning To Look A Lot Like Christmas,Perry Como & Fontane Sisters,RCA,57,64,68,8,"6,790,215"
58,Christmas (baby Please Come Home),Darlene Love,LEGC,56,56,57,52,"6,782,702"
59,Santa Baby,Eartha Kitt,RCA,59,61,60,52,"6,745,237"
60,Baby It's Cold Outside,Idina Menzel Duet w/ Michael Buble,WAR,57,57,58,52,"6,741,265"
61,Merry Christmas Darling,Carpenters,AAM,61,66,76,52,"6,723,437"
62,I Saw Mommy Kissing Santa Claus,Jackson 5,,62,68,75,7,"6,698,657"
63,"Let It Snow, Let It Snow, Let It Snow",Dean Martin,CAP,51,59,54,52,"6,628,307"
64,Have Yourself A Merry Little Christmas,Judy Garland,INT,64,70,73,7,"6,536,692"
65,Wonderful Christmas Time,Paul McCartney,UME,65,67,67,52,"6,525,911"
66,Rudolph The Red-nosed Reindeer,Burl Ives,,66,76,83,6,"6,474,326"
67,"Merry Christmas, Happy Holiday",Pentatonix,RCA,67,72,94,8,"6,438,737"
68,Sleigh Ride,Pentatonix,RCA,28,62,55,52,"6,364,963"
69,December,Ariana Grande,R-RR,3,53,41,52,"6,295,798"
70,Winter Things,Ariana Grande,R-RR,5,55,43,52,"6,238,329"
71,Blue Christmas,Michael Buble,WAR,59,65,59,52,"6,231,217"
72,Happy X-mas (war Is Over),John Lennon,CAP,70,75,70,52,"6,161,405"
73,The Christmas Sing-Along,Pentatonix,RCA,73,78,92,8,"6,142,521"
74,Carol Of The Bells,John Williams,SBSM,74,84,90,16,"6,070,430"
75,Coldest Winter,Pentatonix,RCA,73,73,79,9,"6,068,327"
76,Little Drummer Boy,Pentatonix,RCA,20,71,63,52,"6,000,099"
77,Christmas (baby Please Come Home),Mariah Carey,COL,72,77,74,52,"5,954,415"
78,Hark! The Herald Angels Sing,Pentatonix,RCA,30,69,61,52,"5,937,806"
79,Do They Know It's Christmas?,Band Aid,CAP,79,80,85,8,"5,886,710"
80,Coventry Carol,Pentatonix,RCA,80,82,100,8,"5,840,290"
81,Happy Holiday/the Holiday Season,Andy Williams,COL,81,81,87,52,"5,721,776"
82,Santa Claus Is Comin' To Town,Bruce Springsteen,COL,82,86,88,52,"5,640,317"
83,It's Beginning To Look A Lot L,Bing Crosby,INT,78,83,81,10,"5,621,899"
84,Hawaiian Christmas Song (mele Kalikimaka),Bing Crosby & The Andrews Sisters,INT,84,97,107,6,"5,611,921"
85,Winter Wonderland,Bing Crosby,INT,85,92,97,7,"5,576,902"
86,O Holy Night,Mariah Carey,COL,86,89,99,52,"5,555,269"
87,Good To Be Bad,Pentatonix,RCA,87,91,108,8,"5,496,733"
88,White Christmas,Drifters,,88,90,95,52,"5,467,475"
89,Ave Maria,Michael Buble,WAR,80,87,89,52,"5,397,014"
90,O Tannenbaum,Vince Guaraldi Trio,FAN,76,95,102,52,"5,390,567"
91,Intro (Christmas & Chill),Ariana Grande,R-RR,6,74,51,52,"5,312,779"
92,Silent Night,Pentatonix,RCA,34,85,78,52,"5,311,953"
93,It's The Most Wonderful Time Of The Year,Pentatonix,RCA,54,88,86,52,"5,155,309"
94,Santa Claus Is Comin' To Town,Mariah Carey,COL,94,102,115,8,"5,040,110"
95,True Love,Ariana Grande,R-RR,5,79,56,52,"5,037,741"
96,All I Want For Christmas Is You,Mariah Carey,COL,1,104,111,66,"5,035,095"
97,Joy To The World,Nat King Cole,CAP,97,111,121,7,"5,021,342"
98,Do You Hear What I Hear?,Bing Crosby,CAP,98,109,118,5,"5,003,207"
99,All I Want For Christmas Is You (superfestive!),Justin Bieber Duet With Mariah Carey,,62,93,84,50,"4,965,765"
100,This Christmas,Donny Hathaway,ATLG,100,114,123,52,"4,945,425"
101,Mis Deseos/feliz Navidad,Michael Buble Duet W/Thalia,WAR,101,103,105,52,"4,921,864"
102,Santa Claus Is Coming To Town,Pentatonix,RCA,44,98,93,52,"4,865,244"
103,Carol Of The Bells,Pentatonix,RCA,26,99,91,52,"4,863,734"
104,Fa La La,Justin Bieber Feat. Boys II Men,DEF,24,94,80,52,"4,854,798"
105,The Chipmunk Song (christmas Don't Be Late),Chipmunks,CAP,105,107,109,52,"4,767,443"
106,Joy To The World,Pentatonix,RCA,54,101,98,52,"4,702,300"
107,Sleigh Ride,Ella Fitzgerald,VERV,99,113,117,28,"4,669,146"
108,Baby It's Cold Outside,Dean Martin,CNCO,84,112,112,52,"4,652,274"
109,Wit It This Christmas,Ariana Grande,R-RR,10,96,69,52,"4,645,004"
110,This Christmas,Chris Brown,RCA,43,110,106,52,"4,615,123"
111,It's Beginning To Look A Lot Like Christmas,Johnny Mathis,COL,105,116,120,9,"4,470,753"
112,The Christmas Song (chestnuts Roasting On An Open Fire),Justin Bieber Feat. Usher,DEF,63,108,103,52,"4,466,181"
113,Deck The Halls,Nat King Cole,CAP,113,118,119,8,"4,441,099"
114,Drummer Boy,Justin Bieber Feat. Busta Rhymes,DEF,33,105,96,52,"4,372,409"
115,Please Come Home For Christmas,Eagles,EEG,27,117,116,52,"4,364,966"
116,Ave Maria,Beyonce,COL,5,100,71,52,"4,340,756"
117,Santa Baby,Ariana Grande Feat. Liz Gillies,R-RR,57,115,110,52,"4,291,242"
118,Silent Night,Temptations,MOT,118,127,141,52,"4,286,226"
119,God Rest Ye Merry Gentlemen,Bing Crosby,INT,119,131,151,4,"4,278,315"
120,Here Comes Santa Claus (right Down Santa Claus Lane),Elvis Presley,RCA,106,121,124,25,"4,277,965"
121,"O Come, O Come, Emmanuel",Piano Guys,SNYC,106,124,135,52,"4,163,819"
122,I'll Be Home,Meghan Trainor,EPIC,31,119,114,52,"4,160,360"
123,Santa Claus Is Coming To Town,Frank Sinatra,COL,117,122,125,52,"4,158,721"
124,The First Noel,Frank Sinatra,CAP,124,134,142,8,"4,121,030"
125,Frosty The Snowman,Ronettes,LEGC,125,129,137,6,"4,081,595"
126,Step Into Christmas,Elton John,DEF,125,125,132,6,"4,061,832"
127,A Holly Jolly Christmas,Lady Antebellum,MCAN,127,128,138,5,"4,038,862"
128,All Through The Night,Perry Como,RCA,128,139,146,5,"3,985,018"
129,Christmas Eve,Justin Bieber,DEF,45,120,113,52,"3,975,636"
130,Merry Christmas Mr. Lawrence,Ryuichi Sakamoto,,5,106,72,52,"3,959,114"
131,The Christmas Waltz,Frank Sinatra,CAP,118,135,136,47,"3,896,359"
132,What Child Is This?,Vince Guaraldi Trio,FAN,114,130,128,5,"3,888,976"
133,I've Got My Love To Keep Me Warm,Dean Martin,CAP,133,138,139,6,"3,827,077"
134,Sleigh Ride,Carpenters,AAM,134,149,154,4,"3,820,409"
135,I'll Be Home For Christmas,Frank Sinatra,CAP,122,136,133,34,"3,793,484"
136,Let It Snow,Ella Fitzgerald,VERV,136,141,143,5,"3,697,416"
137,Angels We Have Heard On High,Pentatonix,RCA,93,132,131,52,"3,678,437"
138,The First Noel,Pentatonix,RCA,70,133,129,52,"3,666,456"
139,The Happiest Christmas Tree,Nat King Cole,CAP,139,160,173,3,"3,650,050"
140,Run Run Rudolph,Kelly Clarkson,RCA,140,150,165,4,"3,619,524"
141,The 12 Days Of Christmas,Straight No Chaser,ATLG,141,148,155,19,"3,600,763"
142,My Only Wish (this Year),Britney Spears,RCA,142,142,144,14,"3,584,002"
143,My Little Drum,Vince Guaraldi,FAN,113,145,140,22,"3,578,406"
144,"Baby, It's Cold Outside",Glee Cast,COL,110,137,130,52,"3,562,804"
145,Feliz Navidad (live),Various Artists,,145,147,,2,"3,562,536"
146,What Christmas Means To Me,Sheryl Crow,,146,153,153,28,"3,554,587"
147,Christmas Lights,Coldplay,,40,143,150,52,"3,521,462"
148,Christmas In Hollis,Run-D.M.C.,RCA,119,158,167,52,"3,513,258"
149,Someday At Christmas,Stevie Wonder,MOT,148,152,149,52,"3,499,376"
150,The Little Drummer Boy,Bing Crosby,CAP,150,165,174,3,"3,489,672"
151,My Favorite Things,Kelly Clarkson,RCA,151,151,160,4,"3,479,605"
152,(Everybody's Waitin' For) The Man With Bag,Kay Starr,CAP,152,163,175,3,"3,462,073"
153,Christmas Is Coming,Vince Guaraldi Trio,FAN,133,157,163,52,"3,398,821"
154,Merry Xmas,Fetty Wap Feat. Monty,300E,1,123,101,52,"3,398,024"
155,Silver Bells,Dean Martin,LEGC,155,170,179,3,"3,360,402"
156,Reindeer(s) Are Better Than People,Jonathan Groff,DBV,13,126,104,52,"3,348,332"
157,Where Are You Christmas,Faith Hill,INT,113,146,134,52,"3,347,095"
158,Have Yourself A Merry Little Christmas,Christina Aguilera,RCA,156,156,159,6,"3,337,128"
159,Santa Claus Is Coming To Town,Justin Bieber,DEF,55,144,127,52,"3,289,501"
160,Silent Night,Carpenters,AAM,160,180,193,3,"3,282,915"
161,Christmas Time,Platters,ISL,161,182,194,3,"3,268,749"
162,Not Just On Christmas,Ariana Grande,R-RR,13,140,122,52,"3,260,086"
163,Have Yourself A Merry Little Christmas,Pentatonix,RCA,101,155,147,52,"3,256,924"
164,Last Christmas,Glee Cast,COL,161,161,162,20,"3,245,698"
165,Santa Claus Is Back In Town,Elvis Presley,RCA,162,162,164,9,"3,237,608"
166,I Want A Hippopotamus For Christmas,Gayla Peevey,CRS,164,164,170,7,"3,218,954"
167,Christmas Wrapping,Waitresses,R-RR,167,171,183,4,"3,198,529"
168,Do You Hear What I Hear,Whitney Houston,RCA,168,175,189,3,"3,169,076"
169,The First Noel,Josh Groban,WAR,169,172,185,4,"3,154,028"
170,Miss You Most (at Christmas Time),Mariah Carey,COL,170,179,195,3,"3,116,982"
171,One More Sleep,Leona Lewis,RCA,171,174,187,3,"3,084,112"
172,What Child Is This?/the Holly,Bing Crosby,CAP,172,194,,2,"3,063,853"
173,Snow In California,Ariana Grande,R-RR,49,159,148,52,"3,059,971"
174,Give Love On Christmas Day,Jackson 5,R-RR,174,192,,2,"3,042,821"
175,The Little Drummer Boy,Johnny Cash,CLNV,140,183,,13,"3,038,321"
176,The Little Drummer Boy,Harry Simeone Chorale,UME,158,167,161,7,"3,022,580"
177,Here Comes Santa Claus (right Down Santa Claus Lane),Bing Crosby & The Andrews Sisters,,169,173,169,5,"3,014,423"
178,Winter Wonderland,Blake Shelton,WAR,178,181,,2,"2,993,457"
179,The Christmas Song (chestnuts Roasting On An Open Fire),Pentatonix,RCA,156,166,156,52,"2,987,954"
180,Winter Song,Sara Bareilles & Ingrid Michaelson,EPIC,19,154,126,52,"2,961,884"
181,Here Comes Santa Claus (down Santa Claus Lane),Gene Autry,,181,189,190,4,"2,939,383"
182,Just For Now,Pentatonix,RCA,75,169,158,52,"2,933,731"
183,It's Beginning To Look A Lot Like Christmas,Michael Buble,WAR,5,191,177,58,"2,914,333"
184,Jingle Bell Rock,Daryl Hall And John Oates,RCA,178,185,178,5,"2,912,995"
185,Silent Night,Bing Crosby,INT,176,188,176,5,"2,886,850"
186,We Need A Little Christmas,Johnny Mathis,COL,177,187,181,5,"2,880,863"
187,Please Come Home For Christmas (bells Will Be Ringing),Kelly Clarkson,RCA,187,199,,2,"2,874,376"
188,O Come All Ye Faithful (adeste Fideles),Nat King Cole,CAP,148,184,171,7,"2,868,256"
189,Christmas Canon,Trans-Siberian Orchestra,LAVA,139,178,168,52,"2,860,846"
190,O Holy Night,Nat King Cole,CAP,163,193,182,7,"2,860,129"
191,All I Want For Christmas (is My Two Front Teeth),King Cole Trio,CAP,191,,,1,"2,859,931"
192,Joy To The World,Mariah Carey,COL,192,195,,2,"2,838,803"
193,Winter Wind,Piano Guys,SNYC,168,197,,30,"2,836,526"
194,Hark! The Herald Angels Sing/g,Mariah Carey,COL,194,200,,2,"2,827,979"
195,"The Nutcracker, Op.71",Bonn Classical Philharmonics,,29,168,145,52,"2,765,693"
196,Believe,Josh Groban,WAR,69,177,157,52,"2,764,316"
197,Shake Up Christmas,Train,COL,183,196,,11,"2,748,656"
198,Go Tell It On The Mountain,Pentatonix,RCA,146,186,172,51,"2,721,570"
199,Jingle Bell Rock,Bobby Helms,INT,2,2,2,52,"2,720,892"
200,O Christmas Tree,Tony Bennett,COL,200,,,1,"2,690,587"
