Rank,Song,Artist,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,YTD Audio
1,All I Want For Christmas Is You,Mariah Carey,COL,1,104,111,66,"37,659,697"
2,Jingle Bell Rock,Bobby Helms,INT,2,2,2,52,"24,810,808"
3,Hallelujah,Pentatonix,RCA,2,3,3,11,"22,278,504"
4,Rockin' Around The Christmas Tree,Brenda Lee,MCAN,4,4,5,52,"22,185,138"
5,It's Beginning To Look A Lot Like Christmas,Michael Buble,WAR,5,191,177,58,"19,420,554"
6,"Mary, Did You Know?",Pentatonix,RCA,3,6,4,52,"18,725,379"
7,It's The Most Wonderful Time Of The Year,Andy Williams,COL,7,7,8,52,"18,129,039"
8,Christmas Time Is Here,Vince Guaraldi Trio,FAN,8,8,9,52,"16,843,749"
9,The Christmas Song,Nat King Cole,CAP,9,10,10,52,"16,752,071"
10,White Christmas,Bing Crosby,INT,10,11,12,52,"15,504,461"
11,Mistletoe,Justin Bieber,DEF,5,9,192,65,"15,291,774"
12,Blue Christmas,Elvis Presley,RCA,12,14,15,52,"14,597,954"
13,A Holly Jolly Christmas,Burl Ives,INT,13,13,14,52,"14,478,100"
14,Santa Tell Me,Ariana Grande,R-RR,5,12,11,60,"13,474,450"
15,Last Christmas,Wham!,EPIC,15,15,17,52,"12,717,283"
16,All I Want For Christmas Is You,Michael Buble,WAR,16,16,19,52,"11,897,091"
17,Holly Jolly Christmas,Michael Buble,WAR,17,18,20,52,"11,456,900"
18,Run Rudolph Run,Chuck Berry,INT,18,22,26,52,"10,824,036"
19,Jingle Bells,Michael Buble Feat. The Puppin,WAR,19,20,23,52,"10,514,975"
20,White Christmas,Michael Buble Duet With Shania Twain,WAR,19,19,21,52,"10,415,843"
21,Sleigh Ride,Ronettes,,21,25,28,52,"10,201,535"
22,"O Come, All Ye Faithful",Pentatonix,RCA,22,26,34,9,"10,000,737"
23,Do You Want To Build A Snowman?,"Kristen Bell, Agatha Lee Monn & Katie Lopez",DBV,1,17,13,62,"9,999,434"
24,Christmas (baby Please Come Home),Michael Buble,WAR,21,21,24,52,"9,963,047"
25,Feliz Navidad,Jose Feliciano,SML,18,29,18,52,"9,609,325"
26,Have Yourself A Merry Little Christmas,Frank Sinatra,CAP,26,28,29,52,"9,310,171"
27,Santa Claus Is Coming To Town,Michael Buble,WAR,25,27,25,52,"9,298,113"
28,"You're A Mean One, Mr. Grinch",Thurl Ravenscroft,MERN,28,33,35,52,"9,276,107"
29,White Winter Hymnal,Pentatonix,RCA,11,24,22,52,"9,230,901"
30,God Rest Ye Merry Gentlemen,Pentatonix,RCA,30,35,46,9,"8,929,451"
31,Dance Of The Sugar Plum Fairy,Pentatonix,RCA,14,30,30,52,"8,890,730"
32,Have Yourself A Merry Little Christmas,Michael Buble,WAR,26,31,27,52,"8,790,660"
33,Santa Claus Is Comin' To Town,Jackson 5,MOT,33,37,40,52,"8,777,509"
34,Cold December Night,Michael Buble,WAR,33,34,33,52,"8,658,654"
35,Ghostbusters,Ray Parker Jr.,RCA,2,23,16,63,"8,491,504"
36,That's Christmas To Me,Pentatonix,RCA,16,32,31,52,"8,490,803"
37,"Let It Snow, Let It Snow, Let It Snow",Frank Sinatra,COL,37,43,44,52,"8,316,685"
38,St. Brick Intro,Gucci Mane,ATLG,38,46,77,5,"8,282,116"
39,Rudolph The Red-nosed Reindeer,Gene Autry,,39,39,39,52,"8,247,694"
40,Little Saint Nick,Beach Boys,,38,40,38,52,"8,207,695"
41,Santa Buddy (santa Baby),Michael Buble,WAR,36,38,36,52,"8,161,091"
42,Winter Wonderland/Don'T Worry Be Happy,Pentatonix Feat. Tori Kelly,RCA,18,36,32,52,"7,976,876"
43,"Merry Christmas, Happy Holidays",'N Sync,RCA,41,41,45,52,"7,941,997"
44,(there's No Place Like) Home For The Holidays,Perry Como,RCA,44,44,52,28,"7,856,871"
45,I'll Be Home For Christmas,Pentatonix,RCA,45,49,64,9,"7,850,855"
46,Have Yourself A Merry Little Christmas,Sam Smith,CAP,21,42,37,52,"7,808,893"
47,Jingle Bells,Frank Sinatra,CAP,45,47,49,52,"7,688,456"
48,Christmas Eve/sarajevo 12/24,Trans-Siberian Orchestra,ATLG,45,45,50,52,"7,637,595"
49,White Christmas,Pentatonix,RCA,49,51,62,9,"7,533,626"
50,Linus & Lucy,Vince Guaraldi Trio,FAN,38,50,47,5,"7,265,451"
51,I'll Be Home For Christmas (2011),Michael Buble,WAR,42,48,42,52,"7,153,280"
