Rank,Song,Artist,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,YTD Audio
1,All I Want For Christmas Is You,Mariah Carey,COL,1,1,1,120,"78,512,371"
2,Hallelujah,Pentatonix,RCA,1,2,2,64,"51,125,620"
3,Rockin' Around The Christmas Tree,Brenda Lee,MCAN,3,3,3,104,"44,512,066"
4,It's The Most Wonderful Time Of The Year,Andy Williams,COL,4,4,5,4,"38,513,832"
5,Jingle Bell Rock,Bobby Helms,INT,2,5,4,105,"38,366,009"
6,Last Christmas,Wham!,,6,6,6,105,"35,648,938"
7,The Christmas Song,Nat King Cole,CAP,7,7,7,104,"33,499,682"
8,A Holly Jolly Christmas,Burl Ives,INT,8,9,9,104,"32,771,049"
9,It's Beginning To Look A Lot Like Christmas,Michael Buble,WAR,5,8,8,111,"32,643,351"
10,Christmas Time Is Here,Vince Guaraldi Trio,FAN,10,10,,2,"32,049,197"
11,Blue Christmas,Elvis Presley,RCA,11,14,16,104,"28,321,914"
12,Feliz Navidad,Jose Feliciano,SML,12,13,17,104,"28,311,239"
13,Mistletoe,Justin Bieber,DEF,5,11,12,117,"25,505,349"
14,"Mary, Did You Know?",Pentatonix,RCA,7,12,10,8,"24,800,178"
15,White Christmas,Peggy Lee,INT,15,,,1,"24,513,622"
16,Santa Tell Me,Ariana Grande,R-RR,5,15,14,112,"24,115,527"
17,"You're A Mean One, Mr. Grinch",Thurl Ravenscroft,MERN,17,18,20,104,"22,070,692"
18,Do They Know It's Christmas?,Band Aid,,18,20,22,4,"21,000,301"
19,Rudolph The Red-nosed Reindeer,Gene Autry,,19,28,32,104,"20,202,040"
20,Sleigh Ride,Ronettes,,20,21,24,104,"20,007,276"
21,Wonderful Christmas Time,Paul McCartney,UME,21,23,29,104,"19,714,995"
22,Little Saint Nick,Beach Boys,CAP,22,24,26,104,"19,657,738"
23,Holly Jolly Christmas,Michael Buble,WAR,17,22,27,104,"19,479,763"
24,Do You Want To Build A Snowman?,"Kristen Bell, Agatha Lee Monn & Katie Lopez",DBV,1,17,13,114,"18,425,302"
25,"Let It Snow, Let It Snow, Let It Snow",Frank Sinatra,,23,25,23,104,"18,372,852"
26,Santa Baby,Eartha Kitt,RCA,24,26,25,104,"18,329,509"
27,You Make It Feel Like Christmas,Gwen Stefani Feat. Blake Shelton,INT,27,31,43,6,"17,576,978"
28,"O Come, All Ye Faithful",Pentatonix,RCA,11,29,28,61,"17,434,692"
29,Jingle Bells,Michael Buble Feat. The Puppini Sisters,,29,30,,2,"17,387,978"
30,St. Brick Intro,Gucci Mane,ATLG,1,19,15,58,"16,600,209"
31,Happy X-mas (war Is Over),John Lennon,CAP,31,33,34,4,"16,127,254"
32,Run Rudolph Run,Chuck Berry,INT,18,32,31,104,"16,067,622"
33,Underneath The Tree,Kelly Clarkson,RCA,33,44,49,104,"15,876,548"
34,I Saw Mommy Kissing Santa Claus,Jackson 5,ZZTC,34,35,,2,"15,756,660"
35,Christmas (baby Please Come Home),Michael Buble,WAR,21,34,37,104,"15,713,191"
36,Merry Christmas Darling,Carpenters,AAM,36,50,61,104,"15,085,318"
37,Jingle Bells,Frank Sinatra,CAP,25,43,41,104,"14,958,184"
38,It's Beginning To Look A Lot Like Christmas,Perry Como & Fontane Sisters,RCA,36,39,36,23,"14,950,185"
39,Carol Of The Bells,John Williams,SBSM,35,40,35,68,"14,760,996"
40,God Rest Ye Merry Gentlemen,Pentatonix,RCA,12,38,40,61,"14,692,885"
41,Hallelujah,Tori Kelly,R-RR,3,27,19,52,"14,651,477"
42,Santa Claus Is Comin' To Town,Jackson 5,MOT,33,42,39,104,"14,524,428"
43,(there's No Place Like) Home For The Holidays,Perry Como,RCA,43,45,47,58,"14,316,473"
44,Cold December Night,Michael Buble,WAR,33,46,48,104,"14,264,380"
45,The Little Drummer Boy,Bing Crosby,CAP,45,53,71,9,"14,174,876"
46,Winter Wonderland,Bing Crosby,INT,46,47,46,15,"14,066,360"
47,White Christmas,Michael Buble Duet With Shania Twain,WAR,19,41,33,104,"13,855,948"
48,Santa's Coming For Us,Sia,,48,48,55,7,"13,515,494"
49,Christmas Eve/sarajevo 12/24,Trans-Siberian Orchestra,ATLG,37,37,38,104,"13,409,198"
50,Santa Buddy (santa Baby),Michael Buble,WAR,36,54,58,104,"13,017,353"
51,Have Yourself A Merry Little Christmas,Judy Garland,INT,50,51,50,17,"12,995,239"
52,All I Want For Christmas Is You,Michael Buble,WAR,16,49,44,104,"12,736,172"
53,This Christmas,Donny Hathaway,ATLG,53,69,84,104,"12,487,126"
54,Happy Holiday/the Holiday Season,Andy Williams,COL,54,59,60,3,"12,427,474"
55,Rudolph The Red-nosed Reindeer,Burl Ives,ZZTC,53,55,53,23,"12,326,881"
56,Mistletoe And Holly,Frank Sinatra,CAP,53,61,62,94,"12,200,000"
57,Ghostbusters,Ray Parker Jr.,RCA,2,36,21,115,"12,057,324"
58,I'll Be Home For Christmas,Pentatonix,RCA,27,58,66,61,"12,045,696"
59,Christmas (baby Please Come Home),Darlene Love,LEGC,48,56,52,72,"11,996,625"
60,Santa Claus Is Coming To Town,Michael Buble,,25,52,45,104,"11,713,660"
61,Hawaiian Christmas Song (mele Kalikimaka),Bing Crosby & The Andrews Sisters,INT,61,73,75,32,"11,617,553"
62,Linus & Lucy,Vince Guaraldi Trio,FAN,29,57,51,57,"11,598,091"
63,It's Beginning To Look A Lot Like Christmas,Bing Crosby,INT,63,75,88,4,"11,547,330"
64,Have Yourself A Merry Little Christmas,Sam Smith,CAP,21,62,57,104,"11,433,014"
65,Little Drummer Boy,Pentatonix,RCA,20,63,63,104,"11,335,934"
66,Do You Hear What I Hear?,Bing Crosby,CAP,64,64,69,12,"11,303,645"
67,Up On The Housetop,Pentatonix,RCA,24,67,73,60,"11,271,669"
68,Have Yourself A Merry Little Christmas,Michael Buble,WAR,26,60,59,104,"11,170,730"
69,"Merry Christmas, Happy Holidays",'N Sync,RCA,41,71,72,104,"11,102,323"
70,Baby It's Cold Outside,Dean Martin,CNCO,66,70,68,104,"11,051,360"
71,O Tannenbaum,Vince Guaraldi Trio,FAN,71,94,123,104,"11,008,338"
72,"Let It Snow, Let It Snow, Let It Snow",Dean Martin,CAP,51,68,65,104,"10,940,284"
73,Have Yourself A Merry Little Christmas,Frank Sinatra,CAP,26,66,56,104,"10,919,014"
74,White Christmas,Pentatonix,RCA,28,82,91,61,"10,828,198"
75,Silent Night,Michael Buble,WAR,53,79,81,104,"10,803,868"
76,I've Got My Love To Keep Me Warm,Dean Martin,CAP,76,81,83,22,"10,556,402"
77,Here Comes Santa Claus (down Santa Claus Lane),Gene Autry,,76,76,,2,"10,555,485"
78,Silver Bells,Dean Martin,LEGC,76,80,76,10,"10,411,969"
79,Santa Claus Is Comin' To Town,Bruce Springsteen,COL,70,78,74,84,"10,352,010"
80,White Winter Hymnal,Pentatonix,RCA,11,65,54,104,"10,298,000"
81,Winter Wonderland/Don'T Worry Be Happy,Pentatonix Feat. Tori Kelly,RCA,18,72,64,104,"10,291,204"
82,Joy To The World,Nat King Cole,CAP,82,83,82,16,"10,154,751"
83,Dance Of The Sugar Plum Fairy,Pentatonix,RCA,14,74,67,104,"9,829,285"
84,O Holy Night,Mariah Carey,COL,84,95,126,101,"9,691,568"
85,Let It Snow! Let It Snow! Let It Snow!,Pentatonix,SMEI,85,88,95,7,"9,633,711"
86,Home,Blake Shelton Feat. Michael Buble,WAR,73,99,130,49,"9,594,297"
87,That's Christmas To Me,Pentatonix,RCA,16,77,70,104,"9,573,384"
88,Carol Of The Bells,Pentatonix,RCA,26,84,85,104,"9,537,840"
89,Here Comes Santa Claus (right Down Santa Claus Lane),Elvis Presley,RCA,89,97,112,5,"9,417,504"
90,The First Noel,Frank Sinatra,CAP,87,89,87,24,"9,307,841"
91,Christmas (baby Please Come Home),Mariah Carey,COL,91,,,1,"9,223,832"
92,Santa Claus Is Comin' To Town,Mariah Carey,COL,92,92,99,19,"9,158,232"
93,The Christmas Sing-Along,Pentatonix,RCA,35,86,86,60,"9,078,124"
94,Coventry Carol,Pentatonix,RCA,39,91,93,60,"8,889,281"
95,Have Yourself A Merry Little Christmas,Us The Duo,AWAL,95,122,134,4,"8,883,354"
96,Run Run Rudolph,Kelly Clarkson,RCA,96,96,110,19,"8,843,399"
97,Grown Up Christmas List,Amy Grant,SPAG,97,110,158,4,"8,831,106"
98,I'll Be Home For Christmas (2011),Michael Buble,WAR,42,87,80,104,"8,827,477"
99,Deck The Halls,Nat King Cole,CAP,99,121,140,16,"8,820,516"
100,"Merry Christmas, Happy Holiday",Pentatonix,RCA,33,90,89,60,"8,739,553"
101,Sleigh Ride,Carpenters,AAM,98,100,98,10,"8,511,336"
102,The Christmas Waltz,Frank Sinatra,CAP,102,127,155,61,"8,500,456"
103,Ave Maria,Michael Buble,WAR,80,102,109,104,"8,478,082"
104,Hark! The Herald Angels Sing,Pentatonix,RCA,30,93,92,104,"8,379,234"
105,Mis Deseos/feliz Navidad,Michael Buble Duet W/Thalia,,91,108,116,104,"8,288,358"
106,The 12 Days Of Christmas,Straight No Chaser,ATLG,106,113,127,63,"8,186,179"
107,Christmas In Hollis,Run-D.M.C.,RCA,107,132,165,104,"8,123,363"
108,The Chipmunk Song (christmas Don't Be Late),Chipmunks,CAP,102,103,102,104,"7,896,746"
