Rank,Song,Artist,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,YTD Audio
109,This Christmas,Chris Brown,RCA,43,104,94,104,"7,786,174"
110,Please Come Home For Christmas,Eagles,EEG,27,116,114,104,"7,776,874"
111,Shake Up Christmas,Train,,111,115,125,38,"7,740,241"
112,Blue Christmas,Michael Buble,WAR,59,98,96,104,"7,727,670"
113,Good To Be Bad,Pentatonix,RCA,36,106,104,60,"7,587,628"
114,All Through The Night,Perry Como,RCA,106,112,106,12,"7,585,075"
115,All I Want For Christmas Is You (superfestive!),Justin Bieber Duet With Mariah Carey,,58,101,90,102,"7,556,540"
116,Do You Hear What I Hear,Carrie Underwood,,116,145,176,4,"7,538,303"
117,Happy Xmas (war Is Over),Josh Groban,WAR,117,142,191,3,"7,510,058"
118,I'll Be Home For Christmas,Bing Crosby,ZZTC,118,126,136,5,"7,462,004"
119,"Baby, It's Cold Outside",Glee Cast,COL,81,107,100,102,"7,419,151"
120,Baby It's Cold Outside,Idina Menzel Duet w/ Michael Buble,WAR,57,109,103,104,"7,415,946"
121,Christmas Canon,Trans-Siberian Orchestra,LAVA,120,120,120,104,"7,375,539"
122,White Christmas,Drifters,,88,118,111,72,"7,346,925"
123,Hark! The Herald Angels Sing/g,Mariah Carey,COL,123,139,180,6,"7,339,937"
124,What Christmas Means To Me,Cee-Lo,NELK,124,133,169,4,"7,262,816"
125,My Only Wish (this Year),Britney Spears,RCA,117,123,117,41,"7,048,247"
126,Where Are You Christmas?,Faith Hill,INT,111,111,,2,"6,957,184"
127,I'll Be Home,Meghan Trainor,EPIC,31,124,118,104,"6,926,150"
128,Miss You Most (at Christmas Time),Mariah Carey,COL,128,134,162,7,"6,883,717"
129,Sleigh Ride,Pentatonix,RCA,28,117,108,104,"6,881,577"
130,Last Christmas,Ariana Grande,R-RR,29,114,97,104,"6,847,608"
131,What Child Is This?/the Holly,Bing Crosby,CAP,131,136,147,7,"6,772,176"
132,Coldest Winter,Pentatonix,RCA,18,119,107,61,"6,750,638"
133,Sleighride,Andy Williams,COL,133,138,145,5,"6,668,016"
134,(Everybody's Waitin' For) The Man With Bag,Kay Starr,CAP,134,143,150,8,"6,484,112"
135,The Happiest Christmas Tree,Nat King Cole,,135,144,152,8,"6,443,036"
136,Frosty The Snowman,Ronettes,LEGC,114,129,115,14,"6,407,365"
137,Silent Night,Carpenters,AAM,137,146,154,8,"6,393,764"
138,Twinbow,Slushii x Marshmello,,7,105,77,40,"6,386,594"
139,Fairytale Of New York,Pogues,,81,156,161,102,"6,352,044"
140,Adeste Fideles,Il Divo,COL,140,178,,2,"6,273,738"
141,My Little Drum,Vince Guaraldi,FAN,113,141,138,34,"6,226,457"
142,God Rest Ye Merry Gentlemen,Bing Crosby,INT,119,154,160,9,"6,219,046"
143,Winter Things,Ariana Grande,R-RR,5,128,113,104,"6,213,990"
144,It's Beginning To Look A Lot Like Christmas,Johnny Mathis,COL,108,131,121,4,"6,198,480"
145,My Favorite Things,Kelly Clarkson,RCA,145,147,163,10,"6,194,101"
146,Silent Night,Temptations,MOT,105,148,133,104,"6,122,785"
147,Someday At Christmas,Stevie Wonder,MOT,147,165,173,61,"6,052,153"
148,Dominick The Donkey,Lou Monte,DPO,148,161,167,4,"6,012,364"
149,Christmas Lights,Coldplay,,40,150,143,104,"6,002,423"
150,Last Christmas,Glee Cast,COL,118,130,132,72,"5,973,385"
151,I Want A Hippopotamus For Christmas,Gayla Peevey,CLP,94,152,153,59,"5,912,569"
152,Silent Night,Pentatonix,RCA,34,137,128,104,"5,903,596"
153,The First Noel,Josh Groban,WAR,119,125,119,18,"5,879,480"
154,What Christmas Means To Me,Sheryl Crow,MOT,146,164,164,35,"5,839,732"
155,Snowman,Sia,ATLG,151,151,159,6,"5,785,470"
156,Step Into Christmas,Elton John,DEF,125,169,171,26,"5,776,691"
157,Joy To The World,Pentatonix,RCA,54,162,170,104,"5,772,699"
158,We Wish You A Merry Christmas,John Denver & The Muppets,,158,172,181,3,"5,766,902"
159,What Child Is This?,Vince Guaraldi Trio,FAN,114,155,148,25,"5,729,495"
160,A Marshmallow World,Dean Martin,LEGC,160,,,1,"5,723,954"
161,Mele Kalikimaka,Jimmy Buffett,UME,161,188,,2,"5,715,601"
162,All I Want For Christmas (is My Two Front Teeth),King Cole Trio,CAP,162,173,178,5,"5,645,821"
163,Fa La La,Justin Bieber Feat. Boys II Men,DEF,24,140,124,104,"5,639,953"
164,Wrapped In Red,Kelly Clarkson,RCA,164,170,189,4,"5,608,054"
165,The Christmas Can-can,Straight No Chaser,ATLG,165,185,,2,"5,599,621"
166,It's The Most Wonderful Time Of The Year,Pentatonix,RCA,54,153,141,104,"5,596,192"
167,O Little Town Of Bethlehem,Elvis Presley,RCA,167,181,190,3,"5,585,218"
168,Jingle Bell Rock,Daryl Hall And John Oates,RCA,149,159,149,8,"5,552,482"
169,Drummer Boy,Justin Bieber Feat. Busta Rhymes,DEF,33,149,129,104,"5,522,641"
170,Believe,Josh Groban,WAR,67,158,157,104,"5,478,545"
171,Santa Baby,Ariana Grande Feat. Liz Gillies,R-RR,57,157,144,104,"5,454,367"
172,Feliz Navidad (live),Various Artists,,125,167,151,14,"5,333,910"
173,Have Yourself A Merry Little Christmas,Christina Aguilera,RCA,156,176,177,11,"5,306,775"
174,Reindeer(s) Are Better Than People,Jonathan Groff,DBV,9,135,101,104,"5,299,796"
175,Jingle Bell Rock,Glee Cast,COL,175,175,179,4,"5,271,118"
176,The Christmas Song (chestnuts Roasting On An Open Fire),Justin Bieber Feat. Usher,DEF,63,166,156,104,"5,264,812"
177,Santa Looked A Lot Like Daddy,Brad Paisley,RLSG,177,,,1,"5,247,317"
178,Medley: Hark! The Herald Angel,Bing Crosby,CAP,178,194,,2,"5,234,574"
179,O Holy Night,Celine Dion,COL,79,163,139,89,"5,231,821"
180,December,Ariana Grande,R-RR,3,160,137,104,"5,211,134"
181,Santa Claus Is Coming To Town,Frank Sinatra,COL,42,183,174,104,"5,154,096"
182,Santa Claus Is Comin To Town,Smokey Robinson & The Miracles,MOT,182,,,1,"5,153,658"
183,O Christmas Tree,Tony Bennett,,183,189,193,5,"5,106,291"
184,Christmas Time,Platters,,161,187,184,7,"5,090,591"
185,Angels We Have Heard On High,Pentatonix,RCA,93,186,194,102,"5,071,359"
186,The Twelve Days Of Christmas,Ray Conniff,COL,186,,,2,"5,043,427"
187,We Need A Little Christmas,Johnny Mathis,COL,105,,,12,"5,042,103"
188,Let's Start The New Year Right,Bing Crosby,INT,188,193,192,4,"5,029,453"
189,The Twelve Days Of Christmas,Bing Crosby & The Andrews Sisters,INT,189,198,,2,"5,023,378"
190,One More Sleep,Leona Lewis,,171,192,200,6,"5,009,590"
191,Driving Home For Christmas,Chris Rea,,191,,,1,"4,991,918"
192,O Tannenbaum,Nat King Cole,CAP,192,,,1,"4,969,824"
193,Santa Claus Is Coming To Town,Pentatonix,RCA,44,174,166,104,"4,968,999"
194,Frosty The Snowman,Jimmy Durante,UME,77,195,,47,"4,959,492"
195,Joy To The World,Mariah Carey,COL,154,179,168,7,"4,940,822"
196,The Christmas Waltz,Peggy Lee,CAP,196,,199,2,"4,870,962"
197,Christmas Wrapping,Waitresses,R-RR,167,,,5,"4,825,401"
198,A Holly Jolly Christmas,Lady Antebellum,CAPN,127,190,187,10,"4,755,957"
199,I'll Be Home For Christmas,Frank Sinatra,CAP,110,196,186,50,"4,707,533"
200,Winter Wonderland,Tony Bennett,,163,197,188,8,"4,700,082"
