Rank,Song,Artist,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,YTD Audio
73,It's Beginning To Look A Lot Like Christmas,Bing Crosby,INT ,38,72,71,73,"20,822,373"
74,Carol Of The Bells,John Williams,SBSM,37,74,72,173,"20,752,848"
75,Santa Claus Is Coming To Town,Michael Buble,WAR ,25,75,73,199,"19,837,300"
76,You Make It Feel Like Christmas,Gwen Stefani,INT ,23,76,78,111,"19,445,877"
77,Winter Wonderland,Bing Crosby,CAP ,46,77,79,58,"19,444,755"
78,Here Comes Santa Claus,Elvis Presley,UNIV,69,78,80,97,"19,372,580"
79,Joy To The World,Nat King Cole,CAP ,79,79,84,48,"18,192,728"
80,Have Yourself A Merry Little Christmas,Judy Garland,INT ,51,80,83,85,"18,077,744"
81,Have Yourself a Merry Little Christmas,Frank Sinatra,CAP ,26,81,81,209,"18,060,518"
82,White Christmas,Michael Buble Duet With Shania Twain,WAR,77,82,82,9,"17,411,038"
83,Someday At Christmas,Stevie Wonder,MOT ,77,83,88,123,"17,126,462"
84,Do You Hear What I Hear?,Bing Crosby,CAP ,49,84,87,71,"16,308,126"
85,Santa Baby,Ariana Grande Feat. Liz Gillie,R-RR,57,85,85,165,"15,773,524"
86,Rockin' Around the Christmas Tree (feat. Camila Cabello) [From The Kacey Musgraves Christmas Show],Kacey Musgraves,,86,87,108,5,"15,448,081"
87,Hallelujah,Tori Kelly,R-RR,3,86,74,157,"15,363,672"
88,Little Drummer Boy,Pentatonix,RCA,20,88,86,209,"15,355,458"
89,Reindeer(s) Are Better Than People,Jonathan Groff,DBV,4,91,76,209,"15,221,498"
90,Where Are You Christmas,Faith Hill,INT ,46,90,91,202,"15,018,346"
91,Jingle Bells,Michael Buble Feat. The Puppin,WAR ,19,89,90,209,"15,004,711"
92,Christmas Tree Farm,Taylor Swift,R-RR,92,94,110,4,"14,993,164"
93,Step Into Christmas,Elton John,ISL ,92,92,98,79,"14,979,233"
94,Last Christmas,Ariana Grande,R-RR,29,93,89,209,"14,747,437"
95,Christmas Canon,Trans-Siberian Orchestra,LAVA,90,96,94,209,"14,717,308"
96,Silver Bells,Dean Martin,CAP ,76,95,96,33,"14,676,747"
97,All Through The Night,Perry Como,RCA,93,97,105,29,"14,502,149"
98,That's Christmas To Me,Pentatonix,RCA,16,98,92,209,"14,466,150"
99,Rudolph the Red-Nosed Reindeer,Burl Ives,INT ,55,99,97,128,"14,434,230"
100,Santa's Coming For Us,Sia,ATLG,39,100,103,112,"14,385,392"
101,Cold December Night,Michael Buble,WAR ,33,101,95,197,"14,324,073"
102,All I Want For Christmas Is You,Michael Buble,WAR ,16,102,93,209,"14,061,013"
103,Winter Wonderland/Don'T Worry Be Happy,Pentatonix Feat. Tori Kelly,RCA,18,103,100,209,"13,996,667"
104,God Rest Ye Merry Gentlemen,Pentatonix,RCA,12,104,99,166,"13,719,191"
105,"Baby, It's Cold Outside",Brett Eldredge,ATLG,74,105,104,16,"13,473,217"
106,This Christmas,Christina Aguilera,RCA,106,106,107,16,"13,415,415"
107,Winter Things,Ariana Grande,R-RR,88,107,101,9,"13,404,982"
108,Silent Night,Bing Crosby,INT ,106,108,114,49,"13,328,028"
109,Sleigh Ride,Ella Fitzgerald,VERV,99,110,120,51,"13,027,967"
110,I'll Be Home,Meghan Trainor,EPIC,31,109,106,209,"13,020,105"
111,White Winter Hymnal,Pentatonix,RCA,11,111,102,209,"12,848,104"
112,Do You Hear What I Hear,Whitney Houston,SMCM,80,112,112,43,"12,746,902"
113,Santa Claus Is Coming To Town,Bing Crosby,GEFN,113,113,113,9,"12,706,525"
114,Have Yourself A Merry Little Christmas,Nina Nesbitt,,114,116,130,5,"12,514,953"
115,Sleigh Ride,Idina Menzel,UNC,115,115,122,6,"12,480,223"
116,Jingle Bell Rock from Daryl,Daryl Hall & John Oates,RCA,110,114,111,14,"12,406,085"
117,All I Want (For Christmas),Liam Payne,R-RR,112,117,115,6,"12,311,084"
118,Winter Wonderland,Tony Bennett,COL ,105,118,118,24,"12,240,205"
119,My Only Wish (This Year),Britney Spears,RCA,107,119,121,57,"12,197,274"
120,Grown-Up Christmas List,Pentatonix Feat. Kelly Clarkson,RCA,81,121,117,58,"12,149,895"
121,O Holy Night,Mariah Carey,EPIC,77,120,119,166,"12,140,613"
122,White Christmas,Drifters,CLP ,88,123,123,92,"11,975,833"
123,Baby It's Cold Outside,Idina Menzel,WAR ,57,122,116,209,"11,963,039"
124,Christmas Valentine,Ingrid Michaelson & Jason Mraz,,124,124,127,6,"11,855,575"
125,White Christmas (2019),Michael Buble,WAR ,125,125,141,5,"11,124,732"
126,My Favorite Things,Tony Bennett,COL ,54,127,140,92,"10,878,074"
127,One More Sleep,Leona Lewis,RCA,126,126,128,18,"10,807,788"
128,Carol of the Bells,Pentatonix,RCA,26,128,125,209,"10,710,587"
129,Fairytale Of New York,Pogues,RHI ,81,129,131,207,"10,619,780"
