Date,Albums w/TEA w/SEA On-Demand,Albums w/TEA w/SEA On-Demand Audio,Albums w/ TEA,Total Album Sales,Physical Albums Sales,Digital Albums Sales,Digital Song Sales,Total Streaming On-Demand,Streaming On-Demand Audio,Streaming On-Demand Video,Total Streaming Programmed,Streaming Programmed Audio,Streaming Programmed Video,Airplay Spins,Airplay Audience
Week 31 2018 07/27/2018 - 08/02/2018,"12,539,330","11,109,261","3,019,499","2,262,163","1,351,399","910,764","7,570,101","16,678,332,573","11,315,572,213","5,362,760,360","3,800,041,604","3,800,041,604",0,"3,966,995","14,966,134,000"
Week 32 2018 08/03/2018 - 08/09/2018,"12,689,521","11,246,138","3,209,099","2,468,631","1,346,886","1,121,745","7,403,421","16,684,220,608","11,271,535,169","5,412,685,439","3,775,159,557","3,775,159,557",0,"3,971,697","15,056,902,200"
Week 33 2018 08/10/2018 - 08/16/2018,"12,670,956","11,232,270","3,054,329","2,308,962","1,290,965","1,017,997","7,451,805","16,859,959,019","11,464,887,984","5,395,071,035","3,765,445,145","3,765,445,145",0,"3,947,761","14,902,384,200"
Week 34 2018 08/17/2018 - 08/23/2018,"12,825,756","11,377,435","3,098,721","2,354,638","1,364,860","989,777","7,439,494","17,063,562,750","11,632,357,385","5,431,205,365","3,805,098,681","3,805,098,681",0,"3,933,629","14,701,932,000"
Week 35 2018 08/24/2018 - 08/30/2018,"12,794,112","11,333,666","2,967,754","2,243,971","1,369,180","874,791","7,236,520","17,248,341,555","11,771,669,420","5,476,672,135","3,820,576,794","3,820,576,794",0,"3,942,317","14,739,467,700"
Week 36 2018 08/31/2018 - 09/06/2018,"12,903,858","11,408,257","3,129,519","2,424,941","1,360,590","1,064,350","7,043,664","17,254,864,829","11,646,361,939","5,608,502,890","3,604,312,919","3,604,312,919",0,"3,995,861","15,030,437,800"
Week 37 2018 09/07/2018 - 09/13/2018,"12,991,192","11,503,688","3,167,288","2,487,152","1,580,434","906,718","6,800,394","17,334,269,594","11,756,130,178","5,578,139,416","3,675,535,725","3,675,535,725",0,"3,954,158","14,778,863,200"
Week 38 2018 09/14/2018 - 09/20/2018,"13,018,722","11,514,428","3,077,235","2,402,106","1,515,669","886,437","6,749,458","17,540,505,579","11,899,401,808","5,641,103,771","3,702,774,478","3,702,774,478",0,"3,907,092","14,666,830,400"
Week 39 2018 09/21/2018 - 09/27/2018,"12,957,062","11,443,811","2,932,474","2,266,260","1,346,000","920,260","6,661,007","17,685,032,269","12,010,341,251","5,674,691,018","3,669,124,658","3,669,124,658",0,"3,934,823","14,604,928,300"
Week 40 2018 09/28/2018 - 10/04/2018,"13,409,754","11,922,467","3,249,368","2,577,722","1,455,979","1,121,743","6,714,268","17,809,445,988","12,232,120,880","5,577,325,108","3,695,810,560","3,695,810,560",0,"3,953,855","14,656,591,600"
Week 41 2018 10/05/2018 - 10/11/2018,"13,416,379","11,904,402","3,356,651","2,682,356","1,567,946","1,114,410","6,741,864","17,724,013,030","12,054,099,271","5,669,913,759","3,588,094,762","3,588,094,762",0,"3,952,961","14,719,048,100"
Week 42 2018 10/12/2018 - 10/18/2018,"12,939,592","11,458,394","2,851,133","2,201,910","1,348,681","853,229","6,490,978","17,684,193,390","12,129,699,794","5,554,493,596","3,623,401,476","3,623,401,476",0,"3,923,565","14,530,432,000"
Week 43 2018 10/19/2018 - 10/25/2018,"13,095,971","11,554,275","2,872,584","2,234,664","1,362,018","872,646","6,377,292","18,023,337,251","12,241,977,115","5,781,360,136","3,634,070,078","3,634,070,078",0,"3,959,666","14,643,066,800"
Week 44 2018 10/26/2018 - 11/01/2018,"13,175,633","11,627,902","2,954,890","2,322,409","1,463,607","858,803","6,323,428","18,038,745,135","12,234,753,794","5,803,991,341","3,628,246,385","3,628,246,385",0,"4,003,890","14,797,491,700"
Week 45 2018 11/02/2018 - 11/08/2018,"13,503,846","11,906,439","3,067,503","2,406,880","1,536,200","870,680","6,604,779","18,445,764,581","12,455,487,181","5,990,277,400","3,629,994,459","3,629,994,459",0,"4,039,934","14,865,666,900"
Week 46 2018 11/09/2018 - 11/15/2018,"13,744,129","12,167,361","3,337,353","2,696,323","1,726,702","969,621","6,409,056","18,370,179,495","12,457,299,161","5,912,880,334","3,595,933,989","3,595,933,989",0,"3,999,441","14,857,028,800"
Week 47 2018 11/16/2018 - 11/22/2018,"14,517,598","12,804,474","3,825,882","3,172,636","2,134,201","1,038,435","6,531,018","19,048,329,202","12,624,111,122","6,424,218,080","3,667,741,066","3,667,741,066",0,"4,059,358","15,252,169,100"
Week 48 2018 11/23/2018 - 11/29/2018,"14,142,030","12,606,170","3,847,808","3,264,310","2,434,442","829,867","5,833,184","18,060,090,128","12,300,615,053","5,759,475,075","3,567,914,957","3,567,914,957",0,"4,087,165","15,406,995,500"
Week 49 2018 11/30/2018 - 12/06/2018,"15,253,957","13,621,156","4,036,214","3,393,625","2,447,110","946,515","6,423,872","19,579,221,348","13,456,215,808","6,123,005,540","3,880,002,401","3,880,002,401",0,"4,088,721","15,327,618,800"
Week 50 2018 12/07/2018 - 12/13/2018,"15,773,112","14,101,901","4,365,700","3,747,936","2,825,504","922,431","6,174,671","19,942,009,014","13,674,967,239","6,267,041,775","3,804,867,198","3,804,867,198",0,"4,072,273","15,253,657,000"
Week 51 2018 12/14/2018 - 12/20/2018,"16,647,820","14,994,783","5,064,755","4,409,390","3,534,384","875,007","6,552,403","20,081,316,967","13,882,430,098","6,198,886,869","3,882,584,710","3,882,584,710",0,"4,093,324","15,376,450,300"
Week 52 2018 12/21/2018 - 12/27/2018,"16,863,713","15,043,954","5,332,476","4,457,952","3,249,406","1,208,547","8,743,300","20,305,689,488","13,481,593,006","6,824,096,482","3,644,484,202","3,644,484,202",0,"4,213,007","16,124,556,100"
Week 53 2018 12/28/2018 - 01/03/2019,"13,798,537","12,075,525","3,204,141","2,452,069","1,505,043","947,026","7,518,278","18,819,079,757","12,357,785,089","6,461,294,668","3,242,294,852","3,242,294,852",0,"4,196,427","16,053,001,500"
