Date,Albums w/TEA w/SEA On-Demand,Albums w/TEA w/SEA On-Demand Audio,Albums w/ TEA,Total Album Sales,Physical Albums Sales,Digital Albums Sales,Digital Song Sales,Total Streaming On-Demand,Streaming On-Demand Audio,Streaming On-Demand Video,Total Streaming Programmed,Streaming Programmed Audio,Streaming Programmed Video,Airplay Spins,Airplay Audience
Week 1 2018 12/29/2017 - 01/04/2018,"176,646","145,524","93,741","84,609","72,750","11,859","91,312","124,358,301","77,675,365","46,682,936","21,851,219","21,851,219",0,"7,495","32,885,300"
Week 2 2018 01/05/2018 - 01/11/2018,"76,582","61,855","38,927","35,173","30,233","4,940","37,544","56,482,116","34,392,126","22,089,990","19,075,663","19,075,663",0,669,"3,023,600"
Week 3 2018 01/12/2018 - 01/18/2018,"48,053","36,330","20,006","17,270","14,065","3,205","27,359","42,070,201","24,485,948","17,584,253","12,262,437","12,262,437",0,417,"1,390,200"
Week 4 2018 01/19/2018 - 01/25/2018,"35,624","27,509","13,849","11,629","9,210","2,419","22,203","32,661,948","20,489,371","12,172,577","9,823,384","9,823,384",0,367,"851,500"
Week 5 2018 01/26/2018 - 02/01/2018,"31,493","24,110","11,888","9,919","7,811","2,108","19,686","29,407,807","18,333,937","11,073,870","8,403,511","8,403,511",0,309,"885,300"
Week 6 2018 02/02/2018 - 02/08/2018,"27,612","20,880","9,278","7,566","5,596","1,970","17,123","27,500,900","17,402,638","10,098,262","7,430,412","7,430,412",0,276,"790,400"
Week 7 2018 02/09/2018 - 02/15/2018,"26,000","19,882","9,254","7,456","5,683","1,773","17,982","25,117,719","15,942,157","9,175,562","6,783,782","6,783,782",0,319,"990,900"
Week 8 2018 02/16/2018 - 02/22/2018,"25,232","19,335","9,180","7,417","5,650","1,767","17,632","24,077,641","15,232,463","8,845,178","6,323,188","6,323,188",0,294,"847,500"
Week 9 2018 02/23/2018 - 03/01/2018,"24,278","18,775","8,829","6,970","5,248","1,722","18,595","23,173,724","14,919,213","8,254,511","6,260,426","6,260,426",0,314,"925,700"
Week 10 2018 03/02/2018 - 03/08/2018,"23,229","17,939","8,253","6,586","4,659","1,927","16,662","22,464,916","14,529,808","7,935,108","6,201,995","6,201,995",0,318,"739,500"
Week 11 2018 03/09/2018 - 03/15/2018,"22,516","17,279","7,814","6,231","4,470","1,761","15,826","22,052,564","14,197,189","7,855,375","5,787,737","5,787,737",0,270,"697,300"
Week 12 2018 03/16/2018 - 03/22/2018,"22,540","17,250","7,890","6,321","4,543","1,778","15,689","21,975,173","14,039,751","7,935,422","5,749,789","5,749,789",0,271,"765,100"
Week 13 2018 03/23/2018 - 03/29/2018,"21,720","16,604","7,354","5,753","4,129","1,624","16,013","21,549,396","13,875,421","7,673,975","5,726,560","5,726,560",0,225,"594,100"
Week 14 2018 03/30/2018 - 04/05/2018,"22,011","16,820","7,651","5,944","3,932","2,012","17,064","21,540,699","13,754,510","7,786,189","5,566,985","5,566,985",0,322,"1,386,300"
Week 15 2018 04/06/2018 - 04/12/2018,"20,916","15,965","7,183","5,771","4,248","1,523","14,120","20,599,842","13,172,902","7,426,940","5,553,974","5,553,974",0,234,"610,300"
Week 16 2018 04/13/2018 - 04/19/2018,"21,019","15,780","7,014","5,643","4,169","1,474","13,712","21,006,166","13,148,080","7,858,086","5,560,033","5,560,033",0,274,"674,100"
Week 17 2018 04/20/2018 - 04/26/2018,"19,836","15,011","6,420","5,165","3,784","1,381","12,547","20,123,571","12,887,076","7,236,495","5,124,680","5,124,680",0,227,"584,200"
Week 18 2018 04/27/2018 - 05/03/2018,"19,112","14,635","6,135","4,959","3,615","1,344","11,756","19,466,781","12,750,825","6,715,956","5,084,742","5,084,742",0,277,"859,700"
Week 19 2018 05/04/2018 - 05/10/2018,"18,714","14,388","5,758","4,623","3,324","1,299","11,345","19,433,743","12,944,437","6,489,306","4,778,538","4,778,538",0,248,"524,700"
Week 20 2018 05/11/2018 - 05/17/2018,"19,051","14,717","5,942","4,730","3,176","1,554","12,113","19,663,343","13,163,619","6,499,724","4,806,038","4,806,038",0,255,"627,900"
Week 21 2018 05/18/2018 - 05/24/2018,"18,527","14,085","5,469","4,257","2,806","1,451","12,122","19,586,462","12,924,185","6,662,277","4,726,698","4,726,698",0,250,"611,400"
Week 22 2018 05/25/2018 - 05/31/2018,"17,996","13,517","5,544","4,420","2,798","1,622","11,241","18,678,939","11,959,857","6,719,082","4,427,083","4,427,083",0,302,"838,200"
Week 23 2018 06/01/2018 - 06/07/2018,"18,599","13,720","5,739","4,601","3,098","1,503","11,372","19,289,685","11,971,834","7,317,851","4,624,160","4,624,160",0,231,"467,000"
Week 24 2018 06/08/2018 - 06/14/2018,"18,493","13,821","5,860","4,708","3,209","1,499","11,514","18,948,459","11,940,293","7,008,166","4,022,083","4,022,083",0,217,"561,600"
Week 25 2018 06/15/2018 - 06/21/2018,"17,534","13,156","5,515","4,342","2,822","1,520","11,725","18,029,291","11,461,443","6,567,848","3,215,275","3,215,275",0,207,"475,300"
Week 26 2018 06/22/2018 - 06/28/2018,"17,745","13,620","5,645","4,439","2,924","1,515","12,069","18,150,027","11,962,518","6,187,509","4,435,139","4,435,139",0,337,"2,006,100"
Week 27 2018 06/29/2018 - 07/05/2018,"16,364","14,687","6,086","4,788","3,239","1,549","12,983","17,936,851","11,650,493","6,286,358","4,249,710","4,249,710",0,239,"669,900"
Week 28 2018 07/06/2018 - 07/12/2018,"16,989","15,315","6,526","5,304","3,488","1,816","12,223","18,202,453","11,924,214","6,278,239","4,595,200","4,595,200",0,256,"604,300"
Week 29 2018 07/13/2018 - 07/19/2018,"17,818","15,814","6,636","5,327","3,532","1,795","13,091","19,969,098","12,453,747","7,515,351","4,928,673","4,928,673",0,331,"766,900"
Week 30 2018 07/20/2018 - 07/26/2018,"19,591","17,496","7,697","6,222","4,294","1,928","14,748","21,157,188","13,301,266","7,855,922","5,434,789","5,434,789",0,802,"3,932,100"
Week 31 2018 07/27/2018 - 08/02/2018,"18,828","16,755","7,062","5,684","3,694","1,990","13,781","20,952,510","13,178,634","7,773,876","5,555,450","5,555,450",0,"1,190","3,083,100"
Week 32 2018 08/03/2018 - 08/09/2018,"18,962","16,821","7,360","6,012","3,977","2,035","13,477","20,931,889","12,905,746","8,026,143","5,450,962","5,450,962",0,231,"679,800"
Week 33 2018 08/10/2018 - 08/16/2018,"19,928","17,704","7,598","6,179","3,945","2,234","14,189","22,107,977","13,771,045","8,336,932","5,698,558","5,698,558",0,238,"640,700"
Week 34 2018 08/17/2018 - 08/23/2018,"20,954","18,594","8,124","6,606","4,133","2,473","15,175","23,154,924","14,305,512","8,849,412","6,122,187","6,122,187",0,215,"716,000"
Week 35 2018 08/24/2018 - 08/30/2018,"21,997","19,633","8,719","7,157","4,632","2,525","15,621","23,779,181","14,913,987","8,865,194","6,475,995","6,475,995",0,191,"468,900"
Week 36 2018 08/31/2018 - 09/06/2018,"23,124","20,560","9,217","7,578","4,728","2,850","16,385","25,164,320","15,550,440","9,613,880","6,568,845","6,568,845",0,327,"1,039,100"
Week 37 2018 09/07/2018 - 09/13/2018,"26,035","23,256","10,543","8,702","5,590","3,112","18,410","27,913,037","17,491,510","10,421,527","7,829,125","7,829,125",0,254,"769,300"
Week 38 2018 09/14/2018 - 09/20/2018,"28,549","25,676","12,242","10,296","6,175","4,121","19,459","29,308,773","18,536,218","10,772,555","8,277,134","8,277,134",0,300,"1,148,800"
Week 39 2018 09/21/2018 - 09/27/2018,"32,895","29,641","14,454","12,247","7,681","4,566","21,991","33,208,496","21,006,173","12,202,323","9,371,032","9,371,032",0,487,"1,402,000"
Week 40 2018 09/28/2018 - 10/04/2018,"36,728","33,530","16,663","14,136","8,995","5,141","25,272","35,410,595","23,418,410","11,992,185","10,571,104","10,571,104",0,241,"759,300"
Week 41 2018 10/05/2018 - 10/11/2018,"43,410","39,975","20,551","17,837","11,830","6,007","27,138","39,801,160","26,919,519","12,881,641","11,971,961","11,971,961",0,240,"878,200"
