Date,Albums w/TEA w/SEA On-Demand,Albums w/TEA w/SEA On-Demand Audio,Albums w/ TEA,Total Album Sales,Physical Albums Sales,Digital Albums Sales,Digital Song Sales,Total Streaming On-Demand,Streaming On-Demand Audio,Streaming On-Demand Video,Total Streaming Programmed,Streaming Programmed Audio,Streaming Programmed Video,Airplay Spins,Airplay Audience
12/16/2016,"2,010,247","1,637,886","1,024,565","859,856","602,321","257,535","1,647,092","1,478,522,345","919,981,042","558,541,303","40,240,558","40,237,318","3,240","491,927","2,359,467,600"
12/17/2016,"2,054,463","1,657,660","1,101,486","918,983","671,775","247,208","1,825,032","1,429,465,462","834,260,500","595,204,962","31,720,059","31,715,039","5,020","523,514","2,233,787,100"
12/18/2016,"1,807,929","1,473,938","981,869","811,673","594,745","216,928","1,701,961","1,239,089,639","738,103,924","500,985,715","26,896,897","26,893,105","3,792","505,704","1,634,003,500"
12/19/2016,"1,770,789","1,447,232","888,994","745,649","567,863","177,786","1,433,450","1,322,692,904","837,357,250","485,335,654","35,414,888","35,412,130","2,758","507,337","2,452,130,900"
12/20/2016,"1,816,108","1,482,478","899,822","752,035","564,768","187,267","1,477,874","1,374,428,526","873,982,927","500,445,599","37,566,364","37,563,970","2,394","513,190","2,455,603,800"
12/21/2016,"1,941,099","1,591,408","1,001,021","846,114","648,819","197,295","1,549,074","1,410,116,877","885,579,915","524,536,962","37,861,730","37,859,193","2,537","508,837","2,433,206,000"
12/22/2016,"2,714,322","2,341,766","1,745,541","1,559,229","1,266,774","292,455","1,863,122","1,453,170,993","894,337,389","558,833,604","37,321,417","37,318,939","2,478","510,305","2,437,843,800"
12/23/2016,"2,460,790","2,051,301","1,455,127","1,261,301","955,534","305,767","1,938,265","1,508,493,883","894,260,852","614,233,031","36,341,100","36,337,817","3,283","518,825","2,501,133,200"
12/24/2016,"2,361,931","1,871,951","1,291,748","1,053,601","745,023","308,578","2,381,471","1,605,273,954","870,304,344","734,969,610","33,179,211","33,175,273","3,938","545,536","2,304,284,500"
12/25/2016,"2,122,746","1,730,830","1,222,823","728,033","238,492","489,541","4,947,896","1,349,884,921","762,010,635","587,874,286","29,006,623","29,002,565","4,058","546,519","1,796,381,700"
12/26/2016,"1,729,723","1,409,802","928,875","594,046","268,954","325,092","3,348,288","1,201,272,111","721,391,520","479,880,591","28,703,528","28,700,064","3,464","525,909","2,567,682,300"
12/27/2016,"1,583,400","1,259,718","725,444","468,089","216,911","251,178","2,573,549","1,286,934,715","801,411,343","485,523,372","32,614,960","32,612,761","2,199","522,348","2,488,544,400"
12/28/2016,"1,391,925","1,066,194","517,569","289,288","59,122","230,166","2,282,813","1,311,533,216","822,937,182","488,596,034","33,323,134","33,320,537","2,597","517,739","2,468,538,200"
12/29/2016,"1,137,402","797,269","244,434","244,339","236,413","7,926",954,"1,339,451,851","829,251,609","510,200,242","33,731,117","33,728,859","2,258","519,572","2,465,593,000"
