Date,Albums w/TEA w/SEA On-Demand,Albums w/TEA w/SEA On-Demand Audio,Albums w/ TEA,Total Album Sales,Physical Albums Sales,Digital Albums Sales,Digital Song Sales,Total Streaming On-Demand,Streaming On-Demand Audio,Streaming On-Demand Video,Total Streaming Programmed,Streaming Programmed Audio,Streaming Programmed Video,Airplay Spins,Airplay Audience
Week 1 2016 01/01/2016 - 01/07/2016,"10,349,530","8,106,424","5,974,913","4,054,408","2,219,092","1,835,316","19,205,044","6,561,926,148","3,197,267,285","3,364,658,863","143,350,869","143,319,787","31,082","3,377,486","15,880,564,700"
Week 2 2016 01/08/2016 - 01/14/2016,"10,185,723","7,826,235","5,436,118","3,740,139","2,055,035","1,685,105","16,959,788","7,124,407,422","3,585,175,678","3,539,231,744","153,637,248","153,606,945","30,303","3,297,232","15,361,413,500"
Week 3 2016 01/15/2016 - 01/21/2016,"10,456,812","8,015,155","5,608,149","4,004,307","2,163,407","1,840,900","16,038,428","7,272,993,667","3,610,508,078","3,662,485,589","153,947,131","153,916,645","30,486","3,259,196","15,360,616,900"
Week 4 2016 01/22/2016 - 01/28/2016,"9,844,368","7,381,993","4,911,407","3,415,624","1,896,568","1,519,056","14,957,835","7,399,441,521","3,705,879,006","3,693,562,515","151,951,328","151,916,948","34,380","3,245,587","15,288,048,400"
Week 5 2016 01/29/2016 - 02/04/2016,"10,733,979","8,291,721","5,614,213","4,042,708","2,228,839","1,813,869","15,715,058","7,679,648,429","4,016,260,933","3,663,387,496","161,400,283","161,367,297","32,986","3,262,025","15,361,186,500"
Week 6 2016 02/05/2016 - 02/11/2016,"10,875,076","8,475,400","5,770,991","4,199,184","2,416,361","1,782,823","15,718,078","7,656,126,795","4,056,612,494","3,599,514,301","158,485,739","158,453,463","32,276","3,218,899","15,149,225,100"
Week 7 2016 02/12/2016 - 02/18/2016,"11,436,969","8,966,354","6,251,339","4,495,346","2,709,987","1,785,358","17,559,932","7,778,444,174","4,072,522,826","3,705,921,348","157,792,131","157,756,985","35,146","3,216,641","15,205,732,100"
Week 8 2016 02/19/2016 - 02/25/2016,"10,838,616","8,365,532","5,588,265","4,017,541","2,444,075","1,573,467","15,707,231","7,875,526,777","4,165,901,390","3,709,625,387","166,225,145","166,190,775","34,370","3,219,833","15,139,501,200"
Week 9 2016 02/26/2016 - 03/03/2016,"10,901,423","8,422,109","5,621,569","4,112,563","2,481,567","1,630,995","15,090,062","7,919,781,312","4,200,810,612","3,718,970,700","164,105,655","164,070,581","35,074","3,245,113","14,703,364,700"
Week 10 2016 03/04/2016 - 03/10/2016,"10,912,485","8,394,957","5,573,575","4,086,244","2,396,544","1,689,700","14,873,313","8,008,365,000","4,232,072,247","3,776,292,753","165,909,927","165,877,258","32,669","3,238,862","14,680,196,800"
Week 11 2016 03/11/2016 - 03/17/2016,"10,557,611","8,083,932","5,255,416","3,791,847","2,281,090","1,510,757","14,635,694","7,953,292,137","4,242,773,354","3,710,518,783","170,174,534","170,143,754","30,780","3,178,846","14,435,184,400"
Week 12 2016 03/18/2016 - 03/24/2016,"10,519,818","8,083,626","5,263,805","3,808,585","2,308,214","1,500,371","14,552,203","7,884,019,495","4,229,730,424","3,654,289,071","166,074,076","166,043,742","30,334","3,197,362","14,289,191,200"
Week 13 2016 03/25/2016 - 03/31/2016,"10,942,493","8,490,727","5,580,648","3,884,905","2,256,591","1,628,314","16,957,428","8,042,767,354","4,365,119,134","3,677,648,220","163,300,406","163,269,132","31,274","3,236,308","14,509,580,100"
Week 14 2016 04/01/2016 - 04/07/2016,"10,980,887","8,492,830","5,486,899","3,842,762","2,250,441","1,592,321","16,441,372","8,240,982,185","4,508,896,540","3,732,085,645","168,444,589","168,419,665","24,924","3,240,545","14,564,930,600"
Week 15 2016 04/08/2016 - 04/14/2016,"10,773,946","8,250,508","5,197,725","3,656,634","2,162,765","1,493,870","15,410,911","8,364,330,868","4,579,174,477","3,785,156,391","171,460,384","171,432,772","27,612","3,216,446","15,005,509,400"
Week 16 2016 04/15/2016 - 04/21/2016,"11,241,185","8,738,703","5,682,866","4,130,277","2,493,478","1,636,799","15,525,892","8,337,478,294","4,583,755,585","3,753,722,709","176,259,141","176,231,948","27,193","3,208,489","14,944,809,800"
Week 17 2016 04/22/2016 - 04/28/2016,"11,939,272","9,441,007","6,284,549","4,509,762","2,112,373","2,397,389","17,747,879","8,482,083,894","4,734,685,885","3,747,398,009","172,192,232","172,158,821","33,411","3,205,106","14,911,419,500"
