Date,Albums w/TEA w/SEA On-Demand,Albums w/TEA w/SEA On-Demand Audio,Albums w/ TEA,Total Album Sales,Physical Albums Sales,Digital Albums Sales,Digital Song Sales,Total Streaming On-Demand,Streaming On-Demand Audio,Streaming On-Demand Video,Total Streaming Programmed,Streaming Programmed Audio,Streaming Programmed Video,Airplay Spins,Airplay Audience
12/14/2018,"260,297","250,921","107,117","98,229","75,732","22,497","88,881","224,573,985","189,416,118","35,157,867","87,930,994","87,930,994",0,"77,197","386,056,000"
12/15/2018,"290,500","281,404","117,637","107,058","78,768","28,290","105,794","247,401,540","213,291,228","34,110,312","79,107,581","79,107,581",0,"83,999","344,650,800"
12/16/2018,"244,625","236,836","96,178","86,324","61,001","25,323","98,539","212,827,059","183,617,384","29,209,675","64,417,212","64,417,212",0,"81,875","260,749,200"
12/17/2018,"242,742","234,294","96,546","89,083","71,397","17,686","74,629","213,618,740","181,941,001","31,677,739","88,074,386","88,074,386",0,"82,481","410,989,100"
12/18/2018,"233,903","224,839","82,923","75,133","56,764","18,369","77,900","221,216,127","187,223,776","33,992,351","90,454,530","90,454,530",0,"83,000","410,997,800"
12/19/2018,"261,111","252,266","102,090","93,727","73,867","19,860","83,631","231,321,847","198,151,305","33,170,542","95,777,999","95,777,999",0,"83,697","413,672,400"
12/20/2018,"277,036","266,613","103,935","95,107","74,422","20,685","88,284","253,441,204","214,355,268","39,085,936","102,210,177","102,210,177",0,"85,280","410,072,000"
12/21/2018,"313,875","300,707","113,501","103,747","77,696","26,051","97,539","295,260,650","245,880,716","49,379,934","109,626,683","109,626,683",0,"90,620","440,869,300"
12/22/2018,"338,172","325,411","117,262","106,172","75,206","30,966","110,895","318,475,685","270,621,296","47,854,389","98,606,839","98,606,839",0,"104,267","414,880,100"
12/23/2018,"318,506","304,923","103,747","92,983","61,432","31,551","107,643","312,487,399","261,550,977","50,936,422","91,536,465","91,536,465",0,"105,948","331,015,500"
12/24/2018,"477,169","450,255","103,573","90,904","53,478","37,426","126,690","550,474,588","449,545,074","100,929,514","165,318,318","165,318,318",0,"165,684","752,707,500"
12/25/2018,"446,651","424,833","46,925","37,597","11,352","26,245","93,279","572,313,370","490,494,202","81,819,168","142,821,988","142,821,988",0,"200,905","949,715,100"
12/26/2018,"132,239","127,967","52,544","49,637","43,832","5,805","29,069","114,511,297","98,491,587","16,019,710","26,448,003","26,448,003",0,"19,550","90,319,600"
12/27/2018,"68,645","65,550","23,245","21,310","17,717","3,593","19,351","66,307,709","54,702,052","11,605,657","17,671,077","17,671,077",0,"11,340","74,301,800"
