Date,Albums w/TEA w/SEA On-Demand,Albums w/TEA w/SEA On-Demand Audio,Albums w/ TEA,Total Album Sales,Physical Albums Sales,Digital Albums Sales,Digital Song Sales,Total Streaming On-Demand,Streaming On-Demand Audio,Streaming On-Demand Video,Total Streaming Programmed,Streaming Programmed Audio,Streaming Programmed Video,Airplay Spins,Airplay Audience
12/15/2017,"229,133","200,263","129,702","118,542","91,889","26,653","111,603","149,145,484","105,840,897","43,304,587","2,517,311","2,517,311",0,"77,869","398,227,200"
12/16/2017,"261,402","232,142","154,105","141,053","108,178","32,875","130,524","160,944,228","117,055,017","43,889,211","1,996,672","1,996,672",0,"85,361","358,397,600"
12/17/2017,"221,722","196,406","128,220","115,986","87,141","28,845","122,338","140,253,487","102,279,847","37,973,640","1,695,427","1,695,427",0,"84,395","264,615,900"
12/18/2017,"209,429","180,646","113,398","101,961","80,483","21,478","114,374","144,045,406","100,870,731","43,174,675","2,508,613","2,508,613",0,"84,753","426,205,300"
12/19/2017,"211,594","180,040","114,848","103,699","81,968","21,731","111,491","145,118,854","97,787,133","47,331,721","2,707,973","2,707,973",0,"85,701","432,282,700"
12/20/2017,"227,187","198,767","119,188","108,785","86,242","22,543","104,026","161,999,298","119,368,426","42,630,872","3,077,926","3,077,926",0,"86,540","436,066,100"
12/21/2017,"312,804","276,598","193,818","181,922","154,983","26,939","118,962","178,478,776","124,169,829","54,308,947","3,338,373","3,338,373",0,"87,996","442,886,600"
12/22/2017,"287,399","252,525","154,641","140,396","102,747","37,649","142,451","199,136,993","146,825,523","52,311,470","3,593,353","3,593,353",0,"94,263","466,172,700"
12/23/2017,"314,829","274,930","163,959","147,882","106,623","41,259","160,765","226,305,274","166,457,166","59,848,108","3,305,143","3,305,143",0,"114,133","457,640,600"
12/24/2017,"357,391","291,229","133,878","116,222","67,649","48,573","176,559","335,269,590","236,026,120","99,243,470","4,360,453","4,360,453",0,"160,224","484,194,700"
12/25/2017,"290,652","238,840","59,861","48,298","19,179","29,119","115,631","346,186,763","268,468,198","77,718,565","4,093,564","4,093,564",0,"201,274","988,697,200"
12/26/2017,"86,036","74,777","39,500","35,695","29,465","6,230","38,050","69,804,543","52,915,015","16,889,528","785,466","785,466",0,"19,221","64,186,600"
12/27/2017,"44,785","36,680","19,226","16,599","12,703","3,896","26,271","38,338,281","26,181,315","12,156,966","467,634","467,634",0,"9,405","46,725,100"
12/28/2017,"86,384","80,381","67,701","65,542","62,132","3,410","21,585","28,025,721","19,021,234","9,004,487","346,535","346,535",0,"6,622","35,557,900"
