Date,Albums w/TEA w/SEA On-Demand,Albums w/TEA w/SEA On-Demand Audio,Albums w/ TEA,Total Album Sales,Physical Albums Sales,Digital Albums Sales,Digital Song Sales,Total Streaming On-Demand,Streaming On-Demand Audio,Streaming On-Demand Video,Total Streaming Programmed,Streaming Programmed Audio,Streaming Programmed Video,Airplay Spins,Airplay Audience
Week 1 2019 01/04/2019 - 01/10/2019,"13,559,647","11,923,869","2,771,538","2,095,006","1,285,134","809,872","6,728,305","18,977,599,678","12,843,429,868","6,134,169,810","3,509,160,237","3,509,160,237",0,"4,151,249","15,553,355,200"
Week 2 2019 01/11/2019 - 01/17/2019,"13,625,199","11,892,716","2,560,198","1,901,144","1,144,794","756,349","6,582,277","19,645,612,520","13,148,803,546","6,496,808,974","3,485,301,626","3,485,301,626",0,"4,076,336","15,086,574,200"
Week 3 2019 01/18/2019 - 01/24/2019,"13,703,117","11,895,301","2,646,386","1,993,059","1,198,582","794,477","6,524,504","19,796,045,976","13,016,735,867","6,779,310,109","3,420,576,030","3,420,576,030",0,"4,064,774","14,923,887,400"
Week 4 2019 01/25/2019 - 01/31/2019,"14,040,077","12,221,378","2,807,420","2,159,008","1,377,882","781,126","6,474,725","20,092,487,982","13,272,366,075","6,820,121,907","3,464,500,089","3,464,500,089",0,"4,097,543","14,988,814,700"
Week 5 2019 02/01/2019 - 02/07/2019,"14,061,180","12,235,324","2,659,315","2,024,923","1,263,028","761,895","6,334,358","20,318,418,216","13,471,457,880","6,846,960,336","3,523,993,820","3,523,993,820",0,"4,076,924","14,824,170,400"
Week 6 2019 02/08/2019 - 02/14/2019,"14,543,681","12,686,033","2,954,809","2,271,305","1,346,766","924,539","6,824,814","20,621,402,532","13,655,220,332","6,966,182,200","3,477,537,265","3,477,537,265",0,"4,035,045","14,581,292,400"
Week 7 2019 02/15/2019 - 02/21/2019,"14,341,839","12,450,980","2,861,181","2,185,841","1,343,385","842,456","6,738,834","20,557,393,324","13,466,671,480","7,090,721,844","3,426,971,741","3,426,971,741",0,"4,037,601","14,666,214,400"
Week 8 2019 02/22/2019 - 02/28/2019,"14,590,151","12,744,793","2,931,022","2,253,047","1,368,079","884,968","6,770,662","20,702,093,641","13,781,999,896","6,920,093,745","3,520,311,047","3,520,311,047",0,"4,068,696","14,721,585,900"
Week 9 2019 03/01/2019 - 03/07/2019,"14,761,118","12,900,540","3,024,404","2,344,412","1,476,303","868,109","6,791,551","20,851,847,053","13,874,677,770","6,977,169,283","3,537,862,334","3,537,862,334",0,"4,071,102","14,721,777,600"
Week 10 2019 03/08/2019 - 03/14/2019,"14,663,820","12,775,665","2,853,108","2,215,237","1,391,595","823,642","6,370,897","21,033,495,643","13,952,912,697","7,080,582,946","3,576,474,317","3,576,474,317",0,"3,974,225","14,441,765,400"
Week 11 2019 03/15/2019 - 03/21/2019,"14,505,721","12,592,846","2,655,446","2,024,929","1,304,783","720,146","6,297,196","21,153,301,314","13,980,020,963","7,173,280,351","3,603,309,857","3,603,309,857",0,"4,003,038","14,236,176,200"
Week 12 2019 03/22/2019 - 03/28/2019,"14,659,571","12,746,514","2,696,546","2,071,477","1,268,429","803,048","6,242,284","21,314,598,047","14,140,635,506","7,173,962,541","3,645,098,806","3,645,098,806",0,"4,055,164","14,053,748,900"
Week 13 2019 03/29/2019 - 04/04/2019,"15,004,441","13,055,607","2,947,165","2,318,766","1,413,820","904,946","6,276,953","21,532,998,395","14,224,870,870","7,308,127,525","3,608,541,624","3,608,541,624",0,"4,070,791","14,173,425,500"
Week 14 2019 04/05/2019 - 04/11/2019,"15,059,086","13,056,150","2,811,036","2,163,976","1,347,983","815,993","6,462,435","21,819,515,638","14,308,506,187","7,511,009,451","3,645,839,752","3,645,839,752",0,"4,050,805","14,059,314,600"
Week 15 2019 04/12/2019 - 04/18/2019,"15,507,791","13,508,910","3,417,562","2,800,778","2,049,518","751,260","6,160,426","21,584,344,795","14,088,541,175","7,495,803,620","3,604,943,255","3,604,943,255",0,"4,030,631","14,030,520,700"
Week 16 2019 04/19/2019 - 04/25/2019,"14,748,317","12,740,649","2,637,295","1,998,408","1,262,017","736,391","6,381,146","21,606,316,671","14,077,559,765","7,528,756,906","3,608,418,087","3,608,418,087",0,"4,040,982","14,219,596,300"
Week 17 2019 04/26/2019 - 05/02/2019,"15,011,216","12,990,774","2,854,497","2,212,497","1,391,770","820,727","6,412,937","21,718,363,240","14,141,705,335","7,576,657,905","3,622,651,796","3,622,651,796",0,"4,052,219","14,218,927,400"
Week 18 2019 05/03/2019 - 05/09/2019,"14,967,724","12,940,314","2,749,109","2,132,994","1,442,782","690,212","6,152,201","21,831,335,994","14,228,545,877","7,602,790,117","3,643,391,295","3,643,391,295",0,"4,055,508","14,276,576,300"
