Date,Albums w/TEA w/SEA On-Demand,Albums w/TEA w/SEA On-Demand Audio,Albums w/ TEA,Total Album Sales,Physical Albums Sales,Digital Albums Sales,Digital Song Sales,Total Streaming On-Demand,Streaming On-Demand Audio,Streaming On-Demand Video,Total Streaming Programmed,Streaming Programmed Audio,Streaming Programmed Video,Airplay Spins,Airplay Audience
Week 1 2016 01/01/2016 - 01/07/2016,"97,568","83,360","72,153","62,801","52,211","10,590","93,524","38,123,038","16,811,005","21,312,033","854,431","854,248",183,"2,150","12,011,700"
Week 2 2016 01/08/2016 - 01/14/2016,"50,731","40,975","32,834","27,882","22,465","5,417","49,516","26,845,502","12,211,065","14,634,437","479,062","479,052",10,500,"1,897,200"
Week 3 2016 01/15/2016 - 01/21/2016,"39,266","30,468","23,537","19,882","16,263","3,619","36,558","23,593,050","10,396,102","13,196,948","381,801","381,800",1,380,"1,872,100"
Week 4 2016 01/22/2016 - 01/28/2016,"30,978","22,794","16,549","13,469","10,677","2,792","30,800","21,643,495","9,367,185","12,276,310","299,264","299,264",0,362,"1,478,700"
Week 5 2016 01/29/2016 - 02/04/2016,"27,665","20,924","14,957","12,275","9,699","2,576","26,816","19,062,337","8,950,487","10,111,850","259,150","259,149",1,305,"958,600"
Week 6 2016 02/05/2016 - 02/11/2016,"25,037","18,668","13,013","10,609","8,367","2,242","24,040","18,036,104","8,483,200","9,552,904","228,066","228,065",1,281,"1,146,200"
Week 7 2016 02/12/2016 - 02/18/2016,"24,451","18,128","12,759","10,178","7,762","2,416","25,810","17,538,785","8,053,801","9,484,984","204,745","204,745",0,279,"1,163,100"
Week 8 2016 02/19/2016 - 02/25/2016,"25,127","19,331","14,146","11,900","9,710","2,190","22,460","16,471,733","7,777,389","8,694,344","210,038","210,038",0,301,"1,053,400"
Week 9 2016 02/26/2016 - 03/03/2016,"22,251","16,561","11,578","9,492","7,361","2,131","20,862","16,009,818","7,474,157","8,535,661","207,914","207,913",1,327,"1,599,600"
Week 10 2016 03/04/2016 - 03/10/2016,"21,567","15,952","11,097","9,066","7,006","2,060","20,316","15,704,971","7,281,356","8,423,615","204,984","204,984",0,258,"967,200"
Week 11 2016 03/11/2016 - 03/17/2016,"21,192","15,767","10,946","8,838","6,823","2,015","21,077","15,369,416","7,231,958","8,137,458","210,830","210,830",0,305,"1,199,500"
Week 12 2016 03/18/2016 - 03/24/2016,"20,518","15,343","10,627","8,585","6,616","1,969","20,416","14,837,718","7,074,282","7,763,436","200,081","200,079",2,246,"953,600"
Week 13 2016 03/25/2016 - 03/31/2016,"19,795","14,744","9,985","7,732","5,514","2,218","22,534","14,715,001","7,138,252","7,576,749","203,902","203,901",1,248,"855,300"
Week 14 2016 04/01/2016 - 04/07/2016,"18,295","13,478","8,826","6,895","5,013","1,882","19,303","14,203,654","6,978,874","7,224,780","213,318","213,318",0,217,"737,500"
Week 15 2016 04/08/2016 - 04/14/2016,"18,357","13,433","8,777","6,879","5,074","1,805","18,988","14,370,044","6,983,099","7,386,945","218,644","218,644",0,237,"720,600"
