Date,Albums w/TEA w/SEA On-Demand,Albums w/TEA w/SEA On-Demand Audio,Albums w/ TEA,Total Album Sales,Physical Albums Sales,Digital Albums Sales,Digital Song Sales,Total Streaming On-Demand,Streaming On-Demand Audio,Streaming On-Demand Video,Total Streaming Programmed,Streaming Programmed Audio,Streaming Programmed Video,Airplay Spins,Airplay Audience
12/13/2019,"2,976,793","2,620,075","816,164","746,053","555,367","190,686","701,112","3,828,584,157","2,490,891,203","1,337,692,954","587,912,554","587,912,554",0,"580,860","2,156,448,100"
12/14/2019,"2,663,541","2,280,643","621,328","545,320","438,060","107,260","760,079","3,721,808,403","2,285,941,284","1,435,867,119","508,307,962","508,307,962",0,"622,331","2,068,244,800"
12/15/2019,"2,268,016","1,938,534","484,397","416,826","323,168","93,658","675,706","3,248,101,020","2,012,543,142","1,235,557,878","415,681,110","415,681,110",0,"604,998","1,515,691,200"
12/16/2019,"2,493,429","2,188,346","549,558","487,066","397,569","89,497","624,922","3,413,121,382","2,269,057,506","1,144,063,876","541,642,746","541,642,746",0,"594,908","2,211,418,400"
12/17/2019,"2,426,230","2,115,805","438,096","374,521","289,162","85,359","635,748","3,485,004,600","2,320,913,592","1,164,091,008","560,425,442","560,425,442",0,"590,727","2,193,295,100"
12/18/2019,"2,516,953","2,214,465","523,962","464,385","384,637","79,748","595,770","3,472,477,434","2,338,149,257","1,134,328,177","566,183,538","566,183,538",0,"587,975","2,164,820,200"
12/19/2019,"2,664,443","2,351,207","644,927","561,726","443,448","118,278","832,006","3,529,951,965","2,355,318,710","1,174,633,255","573,293,257","573,293,257",0,"591,955","2,171,021,100"
12/20/2019,"2,732,751","2,383,948","601,645","533,504","429,181","104,323","681,406","3,759,062,689","2,451,049,776","1,308,012,913","595,129,476","595,129,476",0,"596,218","2,196,257,700"
12/21/2019,"2,671,490","2,316,201","655,170","580,580","475,392","105,188","745,898","3,612,035,386","2,279,704,609","1,332,330,777","516,006,597","516,006,597",0,"628,388","2,048,598,700"
12/22/2019,"2,334,538","2,016,258","539,521","469,279","373,325","95,954","702,425","3,226,451,494","2,032,900,066","1,193,551,428","433,150,808","433,150,808",0,"611,209","1,529,952,900"
12/23/2019,"2,645,932","2,310,848","635,248","570,571","482,944","87,627","646,770","3,560,780,358","2,304,216,186","1,256,564,172","566,750,687","566,750,687",0,"614,157","2,301,685,100"
12/24/2019,"2,750,847","2,346,882","546,343","471,807","367,479","104,328","745,362","3,977,724,048","2,462,856,696","1,514,867,352","622,743,768","622,743,768",0,"627,188","2,357,399,600"
12/25/2019,"2,316,235","2,000,509","488,845","371,469","227,154","144,315","1,173,756","3,264,867,350","2,080,895,567","1,183,971,783","467,865,836","467,865,836",0,"651,342","2,554,909,800"
12/26/2019,"2,331,555","2,040,824","586,975","477,048","350,005","127,043","1,099,268","3,110,288,956","2,020,047,354","1,090,241,602","467,598,211","467,598,211",0,"606,545","2,253,842,300"
