Market,Activity,12/16/2016,12/17/2016,12/18/2016,12/19/2016,12/20/2016,12/21/2016,12/22/2016,12/23/2016,12/24/2016,12/25/2016,12/26/2016,12/27/2016,12/28/2016,12/29/2016
Market,Activity,12/14/2018,12/15/2018,12/16/2018,12/17/2018,12/18/2018,12/19/2018,12/20/2018,12/21/2018,12/22/2018,12/23/2018,12/24/2018,12/25/2018,12/26/2018,12/27/2018
National,Equivalents,,,,,,,,,,,,,,
National,Albums w/TEA w/SEA On-Demand,"2,465,337","2,413,917","2,053,239","2,249,298","2,187,981","2,322,620","2,497,763","2,666,093","2,593,222","2,284,088","2,497,364","2,132,334","2,090,564","2,085,192"
National,Albums w/TEA w/SEA On-Demand Audio,"2,209,863","2,136,029","1,819,078","2,028,857","1,963,594","2,104,542","2,275,155","2,390,799","2,316,588","2,027,182","2,185,585","1,890,101","1,866,410","1,852,433"
National,Albums w/ TEA,"687,797","728,814","600,153","623,409","517,834","648,010","801,073","834,871","862,843","717,899","683,737","560,998","614,385","542,887"
National,Sales,,,,,,,,,,,,,,
National,Total Album Sales,"592,833","625,783","505,383","539,682","434,095","562,930","690,803","735,406","756,772","617,948","575,523","367,351","483,415","406,284"
National,Physical Albums Sales,"443,745","484,973","379,515","439,940","334,112","455,200","528,226","562,695","592,501","468,877","416,292","125,241","327,713","230,784"
National,Digital Albums Sales,"149,088","140,810","125,868","99,742","99,983","107,730","162,577","172,711","164,271","149,071","159,231","242,110","155,702","175,500"
National,Digital Song Sales,"949,639","1,030,309","947,697","837,268","837,388","850,797","1,102,705","994,653","1,060,705","999,505","1,082,138","1,936,474","1,309,700","1,366,033"
National,Streaming,,,,,,,,,,,,,,
National,Total Streaming On-Demand,"3,085,971,053","3,000,688,748","2,584,550,181","2,798,713,462","2,866,703,189","2,853,055,142","2,891,635,192","3,196,408,717","3,053,349,572","2,783,259,745","3,242,639,919","2,743,448,184","2,587,210,162","2,699,373,189"
National,Streaming On-Demand Audio,"2,127,940,677","1,958,607,169","1,706,448,900","1,972,060,254","2,025,253,673","2,035,263,393","2,056,856,032","2,164,057,114","2,015,972,155","1,819,863,493","2,073,468,128","1,835,078,023","1,746,629,460","1,826,524,633"
National,Streaming On-Demand Video,"958,030,376","1,042,081,579","878,101,281","826,653,208","841,449,516","817,791,749","834,779,160","1,032,351,603","1,037,377,417","963,396,252","1,169,171,791","908,370,161","840,580,702","872,848,556"
National,Total Streaming Programmed,"599,331,991","516,503,869","422,973,648","564,611,478","586,176,688","593,918,147","599,068,889","609,633,932","534,584,966","466,433,562","594,389,075","461,034,662","475,550,345","502,857,660"
National,Streaming Programmed Audio,"599,331,991","516,503,869","422,973,648","564,611,478","586,176,688","593,918,147","599,068,889","609,633,932","534,584,966","466,433,562","594,389,075","461,034,662","475,550,345","502,857,660"
National,Streaming Programmed Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National,Airplay,,,,,,,,,,,,,,
National,Airplay Spins,"569,226","607,081","591,438","584,965","581,613","577,362","581,639","580,939","612,168","597,661","616,725","639,910","584,254","581,350"
National,Airplay Audience,"2,273,325,200","2,148,814,800","1,620,356,800","2,357,286,900","2,336,408,200","2,317,393,600","2,322,864,800","2,341,117,500","2,167,700,900","1,629,212,100","2,542,201,400","2,738,206,300","2,364,143,000","2,341,974,900"
,,,,,,,,,,,,,,,
Market,Activity,12/13/2019,12/14/2019,12/15/2019,12/16/2019,12/17/2019,12/18/2019,12/19/2019,12/20/2019,12/21/2019,12/22/2019,12/23/2019,12/24/2019,12/25/2019,12/26/2019
National,Equivalents,,,,,,,,,,,,,,
National,Albums w/TEA w/SEA On-Demand,"2,976,793","2,663,541","2,268,016","2,493,429","2,426,230","2,516,953","2,664,443","2,732,751","2,671,490","2,334,538","2,645,932","2,750,847","2,316,235","2,331,555"
National,Albums w/TEA w/SEA On-Demand Audio,"2,620,075","2,280,643","1,938,534","2,188,346","2,115,805","2,214,465","2,351,207","2,383,948","2,316,201","2,016,258","2,310,848","2,346,882","2,000,509","2,040,824"
National,Albums w/ TEA,"816,164","621,328","484,397","549,558","438,096","523,962","644,927","601,645","655,170","539,521","635,248","546,343","488,845","586,975"
National,Sales,,,,,,,,,,,,,,
National,Total Album Sales,"746,053","545,320","416,826","487,066","374,521","464,385","561,726","533,504","580,580","469,279","570,571","471,807","371,469","477,048"
National,Physical Albums Sales,"555,367","438,060","323,168","397,569","289,162","384,637","443,448","429,181","475,392","373,325","482,944","367,479","227,154","350,005"
National,Digital Albums Sales,"190,686","107,260","93,658","89,497","85,359","79,748","118,278","104,323","105,188","95,954","87,627","104,328","144,315","127,043"
National,Digital Song Sales,"701,112","760,079","675,706","624,922","635,748","595,770","832,006","681,406","745,898","702,425","646,770","745,362","1,173,756","1,099,268"
National,Streaming,,,,,,,,,,,,,,
National,Total Streaming On-Demand,"3,828,584,157","3,721,808,403","3,248,101,020","3,413,121,382","3,485,004,600","3,472,477,434","3,529,951,965","3,759,062,689","3,612,035,386","3,226,451,494","3,560,780,358","3,977,724,048","3,264,867,350","3,110,288,956"
National,Streaming On-Demand Audio,"2,490,891,203","2,285,941,284","2,012,543,142","2,269,057,506","2,320,913,592","2,338,149,257","2,355,318,710","2,451,049,776","2,279,704,609","2,032,900,066","2,304,216,186","2,462,856,696","2,080,895,567","2,020,047,354"
National,Streaming On-Demand Video,"1,337,692,954","1,435,867,119","1,235,557,878","1,144,063,876","1,164,091,008","1,134,328,177","1,174,633,255","1,308,012,913","1,332,330,777","1,193,551,428","1,256,564,172","1,514,867,352","1,183,971,783","1,090,241,602"
National,Total Streaming Programmed,"587,912,554","508,307,962","415,681,110","541,642,746","560,425,442","566,183,538","573,293,257","595,129,476","516,006,597","433,150,808","566,750,687","622,743,768","467,865,836","467,598,211"
National,Streaming Programmed Audio,"587,912,554","508,307,962","415,681,110","541,642,746","560,425,442","566,183,538","573,293,257","595,129,476","516,006,597","433,150,808","566,750,687","622,743,768","467,865,836","467,598,211"
National,Streaming Programmed Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National,Airplay,,,,,,,,,,,,,,
National,Airplay Spins,"580,860","622,331","604,998","594,908","590,727","587,975","591,955","596,218","628,388","611,209","614,157","627,188","651,342","606,545"
National,Airplay Audience,"2,156,448,100","2,068,244,800","1,515,691,200","2,211,418,400","2,193,295,100","2,164,820,200","2,171,021,100","2,196,257,700","2,048,598,700","1,529,952,900","2,301,685,100","2,357,399,600","2,554,909,800","2,253,842,300"
