Date,Albums w/TEA w/SEA On-Demand,Albums w/TEA w/SEA On-Demand Audio,Albums w/ TEA,Total Album Sales,Physical Albums Sales,Digital Albums Sales,Digital Song Sales,Total Streaming On-Demand,Streaming On-Demand Audio,Streaming On-Demand Video,Total Streaming Programmed,Streaming Programmed Audio,Streaming Programmed Video,Airplay Spins,Airplay Audience
Week 1 2015 12/29/2014 - 01/04/2015,"162,169","147,451","140,305","121,557","100,615","20,942","187,479","32,796,163","10,719,831","22,076,332","744,555","744,378",177,"6,211","30,619,700"
Week 2 2015 01/05/2015 - 01/11/2015,"68,807","60,262","56,255","48,620","41,369","7,251","76,353","18,827,093","6,010,590","12,816,503","341,524","341,508",16,669,"3,008,600"
Week 3 2015 01/12/2015 - 01/18/2015,"44,363","37,210","33,955","28,702","23,958","4,744","52,526","15,611,919","4,883,319","10,728,600","255,274","255,274",0,387,"1,500,200"
Week 4 2015 01/19/2015 - 01/25/2015,"47,390","40,764","37,763","33,424","29,516","3,908","43,392","14,441,419","4,501,788","9,939,631","154,616","154,615",1,478,"1,665,900"
Week 5 2015 01/26/2015 - 02/01/2015,"30,952","24,694","21,691","17,862","14,624","3,238","38,288","13,891,996","4,504,923","9,387,073","143,935","143,930",5,404,"1,597,200"
Week 6 2015 02/02/2015 - 02/08/2015,"26,090","20,390","17,595","14,115","11,127","2,988","34,797","12,742,853","4,192,394","8,550,459","130,988","130,985",3,402,"1,641,400"
Week 7 2015 02/09/2015 - 02/15/2015,"24,677","19,218","16,578","13,192","10,385","2,807","33,863","12,148,081","3,959,541","8,188,540","144,093","144,091",2,379,"1,576,500"
Week 8 2015 02/16/2015 - 02/22/2015,"21,714","15,961","13,416","10,052","7,286","2,766","33,637","12,448,248","3,818,816","8,629,432","119,716","119,714",2,491,"2,016,600"
Week 9 2015 02/23/2015 - 03/01/2015,"22,148","16,612","14,101","10,792","7,954","2,838","33,094","12,070,705","3,766,751","8,303,954","140,294","140,291",3,389,"1,620,100"
Week 10 2015 03/02/2015 - 03/08/2015,"19,274","14,278","11,813","8,750","6,134","2,616","30,634","11,190,916","3,696,378","7,494,538","139,104","139,102",2,406,"1,772,600"
Week 11 2015 03/09/2015 - 03/15/2015,"18,168","13,149","10,834","8,097","5,777","2,320","27,374","10,999,700","3,471,057","7,528,643","130,260","130,256",4,386,"1,509,200"
Week 12 2015 03/16/2015 - 03/22/2015,"17,734","12,438","10,191","7,429","5,176","2,253","27,618","11,314,119","3,370,519","7,943,600","131,782","131,780",2,349,"1,454,800"
Week 13 2015 03/23/2015 - 03/29/2015,"17,373","12,193","9,848","7,256","4,982","2,274","25,928","11,286,679","3,516,664","7,770,015","138,794","138,792",2,366,"1,420,100"
Week 14 2015 03/30/2015 - 04/05/2015,"18,452","12,975","10,537","7,565","4,762","2,803","29,722","11,873,077","3,656,526","8,216,551","132,816","132,816",0,394,"1,682,800"
Week 15 2015 04/06/2015 - 04/12/2015,"16,409","11,593","9,264","6,762","4,524","2,238","25,013","10,717,643","3,494,620","7,223,023","130,813","130,811",2,381,"1,539,000"
Week 16 2015 04/13/2015 - 04/19/2015,"15,752","11,381","9,128","6,726","4,620","2,106","24,022","9,934,837","3,379,660","6,555,177","137,205","137,204",1,364,"1,681,200"
Week 17 2015 04/20/2015 - 04/26/2015,"15,380","10,925","8,674","6,307","4,230","2,077","23,664","10,058,493","3,376,054","6,682,439","157,007","157,004",3,367,"1,511,000"
Week 18 2015 04/27/2015 - 05/03/2015,"15,023","10,678","8,457","6,051","4,027","2,024","24,057","9,849,365","3,331,618","6,517,747","153,787","153,787",0,374,"1,472,700"
Week 19 2015 05/04/2015 - 05/10/2015,"15,114","10,868","8,633","6,260","4,248","2,012","23,734","9,721,619","3,353,290","6,368,329","154,198","154,197",1,364,"1,324,900"
