Date,Albums w/TEA w/SEA On-Demand,Albums w/TEA w/SEA On-Demand Audio,Albums w/ TEA,Total Album Sales,Physical Albums Sales,Digital Albums Sales,Digital Song Sales,Total Streaming On-Demand,Streaming On-Demand Audio,Streaming On-Demand Video,Total Streaming Programmed,Streaming Programmed Audio,Streaming Programmed Video,Airplay Spins,Airplay Audience
12/16/2016,"261,810","233,610","187,270","172,412","130,558","41,854","148,577","111,810,455","69,511,161","42,299,294","3,972,840","3,972,728",112,"69,639","419,197,500"
12/17/2016,"283,762","258,064","207,931","189,364","134,793","54,571","185,673","113,746,147","75,198,526","38,547,621","3,701,457","3,701,061",396,"77,380","368,492,800"
12/18/2016,"243,022","221,860","178,978","162,718","118,171","44,547","162,604","96,064,731","64,321,875","31,742,856","3,085,460","3,085,162",298,"74,178","277,333,900"
12/19/2016,"228,034","204,124","159,558","146,790","114,039","32,751","127,681","102,713,754","66,848,276","35,865,478","4,114,395","4,114,290",105,"76,347","450,462,800"
12/20/2016,"232,862","210,348","164,067","150,838","116,038","34,800","132,288","103,192,179","69,421,903","33,770,276","4,416,518","4,416,409",109,"78,721","457,764,600"
12/21/2016,"255,581","230,021","181,300","166,895","129,478","37,417","144,053","111,420,942","73,080,392","38,340,550","4,634,024","4,633,951",73,"79,594","458,941,600"
12/22/2016,"351,628","320,743","266,562","250,332","202,992","47,340","162,296","127,599,069","81,272,832","46,326,237","4,919,606","4,919,375",231,"81,285","465,577,900"
12/23/2016,"332,173","293,197","228,587","209,047","154,360","54,687","195,402","155,379,030","96,914,910","58,464,120","5,448,864","5,448,549",315,"91,858","516,622,600"
12/24/2016,"374,713","312,440","216,466","192,233","119,730","72,503","242,325","237,371,795","143,962,012","93,409,783","6,704,046","6,703,650",396,"148,768","666,973,600"
12/25/2016,"258,265","208,640","98,954","82,019","37,540","44,479","169,353","238,965,731","164,528,145","74,437,586","5,780,259","5,779,429",830,"172,167","591,963,500"
12/26/2016,"87,840","77,772","54,390","47,955","38,073","9,882","64,353","50,174,130","35,072,934","15,101,196","1,332,456","1,332,317",139,"20,276","86,095,700"
12/27/2016,"49,657","42,851","32,110","28,289","22,808","5,481","38,206","26,321,018","16,112,002","10,209,016","709,709","709,672",37,"7,533","44,369,200"
12/28/2016,"22,579","17,630","9,724","6,892","3,011","3,881","28,317","19,283,639","11,859,852","7,423,787","518,248","518,230",18,"7,073","43,675,700"
12/29/2016,"53,776","49,382","42,607","42,606","40,064","2,542",5,"16,754,143","10,162,744","6,591,399","443,860","443,803",57,"5,437","36,884,600"
