Date,Albums w/TEA w/SEA On-Demand,Albums w/TEA w/SEA On-Demand Audio,Albums w/ TEA,Total Album Sales,Physical Albums Sales,Digital Albums Sales,Digital Song Sales,Total Streaming On-Demand,Streaming On-Demand Audio,Streaming On-Demand Video,Total Streaming Programmed,Streaming Programmed Audio,Streaming Programmed Video,Airplay Spins,Airplay Audience
Week 1 2015 12/29/2014 - 01/04/2015,"10,766,038","9,262,420","8,153,657","5,366,054","2,778,049","2,588,005","27,876,023","3,918,572,645","1,663,144,665","2,255,427,980","96,554,630","96,479,205","75,425","3,320,636","15,502,310,200"
Week 2 2015 01/05/2015 - 01/11/2015,"9,120,776","7,672,802","6,473,222","4,218,470","2,197,277","2,021,193","22,547,522","3,971,331,015","1,799,370,379","2,171,960,636","102,018,118","101,964,060","54,058","3,240,919","14,860,203,400"
Week 3 2015 01/12/2015 - 01/18/2015,"9,361,819","7,802,006","6,541,149","4,425,561","2,310,350","2,115,211","21,155,886","4,231,004,545","1,891,285,911","2,339,718,634","104,701,945","104,635,856","66,089","3,196,151","14,559,797,500"
Week 4 2015 01/19/2015 - 01/25/2015,"9,610,618","7,981,516","6,680,287","4,642,472","2,422,453","2,220,019","20,378,148","4,395,496,764","1,951,843,880","2,443,652,884","91,538,937","91,474,753","64,184","3,174,187","14,466,039,800"
Week 5 2015 01/26/2015 - 02/01/2015,"9,316,467","7,605,957","6,258,730","4,287,809","2,310,019","1,977,790","19,709,212","4,586,605,058","2,020,840,918","2,565,764,140","113,505,850","113,431,943","73,907","3,172,184","14,356,551,400"
Week 6 2015 02/02/2015 - 02/08/2015,"9,891,895","8,174,086","6,809,202","4,661,930","2,611,885","2,050,045","21,472,722","4,624,039,019","2,047,326,518","2,576,712,501","114,911,248","114,846,980","64,268","3,160,541","14,319,951,100"
Week 7 2015 02/09/2015 - 02/15/2015,"11,513,171","9,743,013","8,362,566","6,055,335","3,210,345","2,844,989","23,072,313","4,725,907,392","2,070,670,926","2,655,236,466","115,815,965","115,756,712","59,253","3,111,350","14,093,401,200"
Week 8 2015 02/16/2015 - 02/22/2015,"10,043,472","8,250,662","6,872,884","4,730,914","2,540,558","2,190,356","21,419,706","4,755,881,682","2,066,666,231","2,689,215,451","115,201,729","115,142,725","59,004","3,156,867","14,318,666,200"
Week 9 2015 02/23/2015 - 03/01/2015,"10,321,105","8,481,249","7,081,375","4,994,564","2,704,239","2,290,325","20,868,111","4,859,594,695","2,099,810,725","2,759,783,970","130,735,202","130,678,595","56,607","3,168,619","14,384,708,800"
Week 10 2015 03/02/2015 - 03/08/2015,"10,102,295","8,261,681","6,815,752","4,755,048","2,620,861","2,134,187","20,607,038","4,929,814,877","2,168,893,813","2,760,921,064","139,153,802","139,094,753","59,049","3,155,393","14,102,834,100"
Week 11 2015 03/09/2015 - 03/15/2015,"9,917,968","8,041,463","6,610,274","4,648,143","2,613,091","2,035,052","19,621,306","4,961,541,409","2,146,784,026","2,814,757,383","139,338,034","139,270,598","67,436","3,149,763","13,684,473,400"
Week 12 2015 03/16/2015 - 03/22/2015,"10,085,092","8,179,513","6,763,090","4,805,012","2,565,159","2,239,854","19,580,779","4,983,002,164","2,124,634,636","2,858,367,528","132,649,575","132,582,326","67,249","3,147,733","13,670,731,100"
Week 13 2015 03/23/2015 - 03/29/2015,"9,954,998","7,948,933","6,414,547","4,456,737","2,529,210","1,927,527","19,578,104","5,310,676,511","2,301,578,392","3,009,098,119","150,907,267","150,842,683","64,584","3,154,990","13,538,239,100"
Week 14 2015 03/30/2015 - 04/05/2015,"10,871,498","8,846,637","7,263,865","5,087,468","2,888,461","2,199,007","21,763,970","5,411,450,607","2,374,158,637","3,037,291,970","150,230,568","150,174,800","55,768","3,224,377","13,819,958,100"
Week 15 2015 04/06/2015 - 04/12/2015,"9,913,331","7,905,548","6,333,825","4,235,768","2,366,529","1,869,238","20,980,573","5,369,258,538","2,357,585,145","3,011,673,393","153,078,401","153,025,608","52,793","3,175,297","13,901,866,200"
Week 16 2015 04/13/2015 - 04/19/2015,"10,175,411","8,189,179","6,608,781","4,582,872","2,589,518","1,993,354","20,259,084","5,349,944,932","2,370,596,743","2,979,348,189","169,671,933","169,629,603","42,330","3,147,504","13,931,038,400"
Week 17 2015 04/20/2015 - 04/26/2015,"9,903,755","7,886,244","6,297,576","4,354,062","2,441,109","1,912,953","19,435,133","5,409,268,456","2,383,003,104","3,026,265,352","181,467,368","181,422,955","44,413","3,153,147","13,940,344,900"
Week 18 2015 04/27/2015 - 05/03/2015,"9,779,181","7,809,787","6,210,365","4,347,792","2,521,303","1,826,489","18,625,735","5,353,223,065","2,399,132,528","2,954,090,537","181,302,944","181,258,322","44,622","3,162,197","13,923,000,900"
Week 19 2015 05/04/2015 - 05/10/2015,"10,242,106","8,214,624","6,597,815","4,714,938","2,745,514","1,969,424","18,828,769","5,466,437,038","2,425,213,675","3,041,223,363","181,703,640","181,660,955","42,685","3,146,578","14,042,693,800"
Week 20 2015 05/11/2015 - 05/17/2015,"9,726,372","7,734,205","6,129,268","4,173,117","2,295,281","1,877,836","19,561,509","5,395,656,255","2,407,405,545","2,988,250,710","178,602,702","178,559,119","43,583","3,150,577","14,138,913,600"
Week 21 2015 05/18/2015 - 05/24/2015,"10,037,865","7,923,731","6,323,547","4,317,608","2,337,134","1,980,474","20,059,390","5,571,477,638","2,400,275,451","3,171,202,187","181,657,823","181,611,658","46,165","3,148,270","14,103,293,900"
Week 22 2015 05/25/2015 - 05/31/2015,"9,527,983","7,444,687","5,874,917","3,980,394","2,141,298","1,839,096","18,945,230","5,479,599,295","2,354,656,192","3,124,943,103","178,208,978","178,160,627","48,351","3,194,314","14,638,339,600"
Week 23 2015 06/01/2015 - 06/07/2015,"9,818,021","7,733,486","6,105,756","4,218,555","2,289,018","1,929,537","18,872,012","5,568,397,817","2,441,593,949","3,126,803,868","183,315,506","183,277,421","38,085","3,202,852","14,724,393,400"
Week 24 2015 06/08/2015 - 06/14/2015,"9,770,368","7,617,999","5,999,613","4,128,874","2,303,143","1,825,731","18,707,397","5,656,131,534","2,427,579,027","3,228,552,507","176,861,201","176,821,060","40,141","3,164,067","14,539,475,500"
Week 25 2015 06/15/2015 - 06/21/2015,"10,038,216","7,895,907","6,299,361","4,427,897","2,542,634","1,885,263","18,714,642","5,608,281,979","2,394,817,705","3,213,464,274","175,433,419","175,397,139","36,280","3,149,272","14,438,579,500"
Week 26 2015 06/22/2015 - 06/28/2015,"9,929,798","7,742,191","6,112,765","4,219,860","2,286,273","1,933,587","18,929,046","5,725,550,040","2,444,139,482","3,281,410,558","177,035,270","177,017,504","17,766","3,173,438","14,646,820,900"
Week 27 2015 06/29/2015 - 07/09/2015,"14,816,762","11,395,146","8,644,871","5,802,549","2,920,022","2,882,527","28,423,223","9,257,835,994","4,125,412,518","5,132,423,476","277,806,672","277,757,610","49,062","5,070,974","24,177,667,100"
Week 28 2015 07/10/2015 - 07/16/2015,"9,621,064","7,387,624","5,573,654","3,826,258","2,173,946","1,652,312","17,473,961","6,071,115,157","2,720,954,722","3,350,160,435","179,726,700","179,694,845","31,855","3,215,176","15,011,184,600"
Week 29 2015 07/17/2015 - 07/23/2015,"10,100,755","7,808,288","5,938,572","4,183,785","2,434,217","1,749,568","17,547,874","6,243,274,867","2,804,573,664","3,438,701,203","184,917,409","184,891,807","25,602","3,186,557","14,827,962,200"
Week 30 2015 07/24/2015 - 07/30/2015,"9,733,708","7,383,973","5,500,495","3,788,995","2,135,340","1,653,655","17,115,000","6,349,819,082","2,825,217,024","3,524,602,058","180,725,187","180,695,745","29,442","3,213,487","14,863,439,900"
Week 31 2015 07/31/2015 - 08/06/2015,"9,893,618","7,540,331","5,589,595","3,835,846","2,236,760","1,599,086","17,537,494","6,456,033,907","2,926,104,335","3,529,929,572","160,111,156","160,075,563","35,593","3,231,246","14,943,931,700"
Week 32 2015 08/07/2015 - 08/13/2015,"10,352,021","8,017,260","6,024,418","4,367,716","2,419,505","1,948,211","16,567,021","6,491,404,319","2,989,263,060","3,502,141,259","160,606,753","160,571,409","35,344","3,214,275","14,875,470,500"
Week 33 2015 08/14/2015 - 08/20/2015,"9,909,445","7,512,935","5,563,204","3,923,013","2,200,576","1,722,437","16,401,910","6,519,361,942","2,924,596,024","3,594,765,918","147,825,123","147,790,160","34,963","3,196,922","14,762,888,100"
Week 34 2015 08/21/2015 - 08/27/2015,"9,793,163","7,450,820","5,432,001","3,865,597","2,230,428","1,635,169","15,664,041","6,541,742,414","3,028,227,850","3,513,514,564","169,119,655","169,084,083","35,572","3,197,746","14,778,298,800"
Week 35 2015 08/28/2015 - 09/03/2015,"10,146,143","7,817,774","5,735,794","4,038,371","2,211,804","1,826,567","16,974,230","6,615,523,631","3,122,970,144","3,492,553,487","159,137,043","159,108,722","28,321","3,203,308","14,769,032,000"
Week 36 2015 09/04/2015 - 09/10/2015,"9,899,027","7,509,858","5,452,610","3,839,783","2,177,442","1,662,341","16,128,270","6,669,626,233","3,085,872,245","3,583,753,988","155,369,736","155,350,806","18,930","3,220,333","15,025,623,500"
Week 37 2015 09/11/2015 - 09/17/2015,"9,581,868","7,238,680","5,123,758","3,602,601","2,071,798","1,530,803","15,211,572","6,687,165,539","3,172,382,669","3,514,782,870","143,312,285","143,294,253","18,032","3,187,508","14,730,270,500"
Week 38 2015 09/18/2015 - 09/24/2015,"10,251,351","7,892,436","5,725,131","4,221,781","2,191,805","2,029,976","15,033,502","6,789,329,704","3,250,957,263","3,538,372,441","158,574,544","158,545,412","29,132","3,160,219","14,614,593,800"
Week 39 2015 09/25/2015 - 10/01/2015,"10,062,364","7,715,609","5,396,051","3,931,875","2,185,225","1,746,650","14,641,763","6,999,468,770","3,479,336,747","3,520,132,023","157,694,844","157,672,999","21,845","3,199,209","14,750,723,400"
Week 40 2015 10/02/2015 - 10/08/2015,"9,905,239","7,499,305","5,240,493","3,786,704","2,225,115","1,561,589","14,537,888","6,997,119,310","3,388,218,375","3,608,900,935","268,743,498","268,715,701","27,797","3,214,141","14,839,386,800"
Week 41 2015 10/09/2015 - 10/15/2015,"9,643,053","7,323,814","5,070,365","3,621,016","2,125,469","1,495,547","14,493,496","6,859,031,088","3,380,172,958","3,478,858,130","275,378,839","275,349,745","29,094","3,187,850","14,697,730,000"
Week 42 2015 10/16/2015 - 10/22/2015,"9,761,841","7,464,899","5,185,061","3,746,649","2,116,206","1,630,443","14,384,119","6,865,170,074","3,419,756,443","3,445,413,631","308,889,768","308,861,585","28,183","3,197,816","14,768,489,000"
Week 43 2015 10/23/2015 - 10/29/2015,"10,083,566","7,751,975","5,433,632","3,898,174","2,283,443","1,614,732","15,354,579","6,974,900,758","3,477,513,943","3,497,386,815","277,859,859","277,829,541","30,318","3,200,895","14,760,855,800"
Week 44 2015 10/30/2015 - 11/05/2015,"10,211,772","7,882,154","5,644,520","4,095,554","2,295,155","1,800,398","15,489,665","6,850,878,329","3,356,450,660","3,494,427,669","225,757,705","225,730,775","26,930","3,230,925","14,848,291,400"
Week 45 2015 11/06/2015 - 11/12/2015,"10,302,557","7,946,971","5,698,428","4,161,319","2,566,305","1,595,014","15,371,088","6,906,194,359","3,372,814,385","3,533,379,974","211,416,086","211,385,050","31,036","3,203,610","14,786,543,000"
