Market,Activity,12/16/2016,12/17/2016,12/18/2016,12/19/2016,12/20/2016,12/21/2016,12/22/2016,12/23/2016,12/24/2016,12/25/2016,12/26/2016,12/27/2016,12/28/2016,12/29/2016
National,Total Album Sales,"98,229","107,058","86,324","89,083","75,133","93,727","95,107","103,747","106,172","92,983","90,904","37,597","49,637","21,310"
National,Physical Albums Sales,"75,732","78,768","61,001","71,397","56,764","73,867","74,422","77,696","75,206","61,432","53,478","11,352","43,832","17,717"
National,Digital Albums Sales,"22,497","28,290","25,323","17,686","18,369","19,860","20,685","26,051","30,966","31,551","37,426","26,245","5,805","3,593"
National,Digital Song Sales,"88,881","105,794","98,539","74,629","77,900","83,631","88,284","97,539","110,895","107,643","126,690","93,279","29,069","19,351"
National,Streaming,,,,,,,,,,,,,,
National,Total Streaming On-Demand,"224,573,985","247,401,540","212,827,059","213,618,740","221,216,127","231,321,847","253,441,204","295,260,650","318,475,685","312,487,399","550,474,588","572,313,370","114,511,297","66,307,709"
National,Streaming On-Demand Audio,"189,416,118","213,291,228","183,617,384","181,941,001","187,223,776","198,151,305","214,355,268","245,880,716","270,621,296","261,550,977","449,545,074","490,494,202","98,491,587","54,702,052"
National,Streaming On-Demand Video,"35,157,867","34,110,312","29,209,675","31,677,739","33,992,351","33,170,542","39,085,936","49,379,934","47,854,389","50,936,422","100,929,514","81,819,168","16,019,710","11,605,657"
National,Total Streaming Programmed,"87,930,994","79,107,581","64,417,212","88,074,386","90,454,530","95,777,999","102,210,177","109,626,683","98,606,839","91,536,465","165,318,318","142,821,988","26,448,003","17,671,077"
National,Streaming Programmed Audio,"87,930,994","79,107,581","64,417,212","88,074,386","90,454,530","95,777,999","102,210,177","109,626,683","98,606,839","91,536,465","165,318,318","142,821,988","26,448,003","17,671,077"
National,Streaming Programmed Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National,Airplay,,,,,,,,,,,,,,
National,Airplay Spins,"77,197","83,999","81,875","82,481","83,000","83,697","85,280","90,620","104,267","105,948","165,684","200,905","19,550","11,340"
National,Airplay Audience,"386,056,000","344,650,800","260,749,200","410,989,100","410,997,800","413,672,400","410,072,000","440,869,300","414,880,100","331,015,500","752,707,500","949,715,100","90,319,600","74,301,800"
,,,,,,,,,,,,,,,
Market,Activity,12/13/2019,12/14/2019,12/15/2019,12/16/2019,12/17/2019,12/18/2019,12/19/2019,12/20/2019,12/21/2019,12/22/2019,12/23/2019,12/24/2019,12/25/2019,12/26/2019
National,Equivalents,,,,,,,,,,,,,,
