Rank,Title,Artist,Label,Core Genre,Release Date,Albums w/TEA w/SEA On-Demand Audio - YTD,Albums Sales - YTD,Physical Albums Sales - YTD,Digital Albums Sales - YTD,Digital Song Sales - YTD,Streaming On-Demand Audio - YTD,
45,Family Christmas,Piano Guys,SNYC,Holiday/Seasonal,10/22/2013,"51,923","33,932","24,937","8,995","14,424","24,823,908",
46,Personal Christmas Collection,Andy Williams,COL,Holiday/Seasonal,08/09/1994,"51,830","30,818","30,647",171,"47,325","24,418,211",
47,Christmas With Bing,Bing Crosby,CAP,Holiday/Seasonal,09/08/1992,"50,785",,,,"90,884","62,544,950",
48,Christmas Portrait,Carpenters,AAM,Holiday/Seasonal,08/24/1987,"50,526","32,139","23,727","8,412","36,366","22,125,878",
49,Christmas Trilogy,Trans-Siberian Orchestra,ATLG,Holiday/Seasonal,11/02/2004,"50,461","8,355","6,526","1,829","185,853","35,280,935",
50,A Farmhouse Christmas,Joey + Rory,SUG,Holiday/Seasonal,10/11/2011,"48,886","48,614","48,001",613,"1,418","195,244",
51,Voice Of Christmas,Bing Crosby,INT,Holiday/Seasonal,10/06/1998,"48,645","1,081",777,304,"83,941","58,754,993",
52,Coolest Yule Ever,Coolest Yule Ever,DELT,Holiday/Seasonal,10/09/2007,"48,343",,,,"99,846","57,537,479",
53,Christmas With The Rat Pack,Rat Pack,CAP,Holiday/Seasonal,08/24/2010,"48,267","5,900",23,"5,877","70,684","52,947,524",
54,Holidays & Hits,Dean Martin,CAP,Holiday/Seasonal,10/20/2009,"47,510",,,,"157,992","47,566,389",
55,Christmas Album,Frank Sinatra,MSI,Holiday/Seasonal,01/20/1998,"47,369",1,1,,"63,249","61,564,991",
56,Blue Christmas,Elvis Presley,RCA,Holiday/Seasonal,07/14/1992,"47,102","14,340","14,340",,"69,420","38,730,473",
57,Someday At Christmas,Jackie Evancho,SNYC,Holiday/Seasonal,10/28/2016,"46,966","45,078","38,949","6,129","12,816","909,007",
58,Christmas Songs,Frank Sinatra,,Holiday/Seasonal,08/31/2004,"46,566",,,,"59,070","60,988,636",
59,Merry Christmas,Bing Crosby,INT,Holiday/Seasonal,09/06/1994,"45,817","9,199","9,199",,"71,425","44,212,810",
60,Soundtrack,Jingle All The Way,ORCH,Holiday/Seasonal,11/26/1996,"45,500",31,31,,"102,407","52,842,229",
61,Kidz Bop Christmas (2016),Kidz Bop Kids,RTKB,Holiday/Seasonal,10/28/2016,"44,840","40,222","33,457","6,765","8,837","5,601,923",
62,White Christmas,Martina McBride,RLSG,Holiday/Seasonal,09/29/1998,"44,036","34,577","29,867","4,710","37,438","8,572,059",
63,Soundtrack,Polar Express,WAR,Holiday/Seasonal,11/02/2004,"43,331","9,959","4,752","5,207","76,544","38,575,847",
64,Peace On Earth,Casting Crowns,REUN,Christian/Gospel,01/01/2000,"43,237","37,584","33,206","4,378","20,516","5,401,975",
65,Full Of (Even More) Cheer,Home Free,,Holiday/Seasonal,10/28/2016,"43,150","38,547","29,907","8,640","27,803","2,732,803",
66,Home For Christmas,'N Sync,RCA,Holiday/Seasonal,11/10/1998,"42,959","26,208","20,200","6,008","29,226","20,742,432",
67,Elvis Christmas,Elvis Presley,RCA,Holiday/Seasonal,10/03/2006,"41,730","10,343","9,964",379,"66,877","37,048,500",
68,Lost Christmas Eve,Trans-Siberian Orchestra,LAVA,Holiday/Seasonal,10/12/2004,"41,531","28,601","23,614","4,987","47,364","12,290,853",
69,Strait For The Holidays,George Strait,MCAN,Holiday/Seasonal,10/30/2016,"41,520","41,520","41,520",,,,
70,Christmas Song (mastered F,Nat King Cole,,Holiday/Seasonal,11/21/2011,"41,059",,,,"66,790","51,569,726",
71,If Every Day Was Like Christma,Elvis Presley,RCA,Holiday/Seasonal,10/11/1994,"40,510","1,017","1,017",,"87,492","46,116,679",
72,Christmas Songs,Bing Crosby,VIN,Holiday/Seasonal,10/18/1994,"40,406",,,,"74,844","49,382,005",
73,Christmas Collection,Burl Ives,INT,Holiday/Seasonal,09/23/2003,"40,163","19,876","19,876",,"42,294","24,086,269",
74,Merry Christmas Ii You,Mariah Carey,DEF,Holiday/Seasonal,11/02/2010,"40,144","9,414","6,483","2,931","12,574","44,209,303",
75,Sinatra Christmas Album,Frank Sinatra,WAR,Holiday/Seasonal,10/18/1994,"39,806",27,27,,"48,600","52,378,215",
76,Christmas With Bing Crosby,Bing Crosby,ORCH,Holiday/Seasonal,06/19/1984,"39,597",306,305,1,"70,662","48,336,154",
77,Christmas Peace,Elvis Presley,RCA,Holiday/Seasonal,11/04/2003,"39,549",762,762,,"107,493","42,055,897",
78,Best Of Temptations Christmas,Temptations,MOT,Holiday/Seasonal,10/30/2001,"39,047","30,910","29,417","1,493","20,912","9,068,867",
79,Essential Exclusive,Christmas,COL,Holiday/Seasonal,10/15/2002,"38,593",16,16,,"109,742","41,404,021",
80,The Christmas Song,Nat King Cole,CAP,Holiday/Seasonal,08/12/1999,"37,772",4,,4,"67,206","46,570,775",
81,Live,Mannheim Steamroller,AMG,Holiday/Seasonal,10/16/2015,"37,753","29,196","28,829",367,"28,025","8,631,911",
82,Jolly Christmas: 50th Anniv.,Frank Sinatra,,Holiday/Seasonal,09/18/2007,"37,511",,,,"46,098","49,352,179",
83,"Cheers, It's Christmas",Blake Shelton,WAR,Holiday/Seasonal,09/18/2012,"37,506","23,322","21,237","2,085","44,808","14,555,620",
84,Jolly Christmas,Frank Sinatra,,Holiday/Seasonal,11/07/1995,"37,337",,,,"44,394","49,346,686",
85,Jingle Bells,Jingle Bells,MUZM,Holiday/Seasonal,04/25/1995,"36,997",2,1,1,"77,780","43,825,025",
86,The Gift,Susan Boyle,COL,Holiday/Seasonal,09/28/2010,"35,799","33,884","33,104",780,"8,512","1,596,573",
87,Dreams Of Fireflies (on A Chri,Trans-Siberian Orchestra,R-LA,Holiday/Seasonal,10/30/2012,"35,412","35,041","34,109",932,"2,265","216,351",
88,Very Best Of Bing Crosby Chris,Bing Crosby,INT,Holiday/Seasonal,10/05/1999,"35,008",30,30,,"57,618","43,824,591",
89,Christmas In Concert,John Denver,RCA,Holiday/Seasonal,09/25/2001,"34,816","4,731","4,731",,"166,558","20,143,620",
90,Michael Buble,Michael Buble,WAR,Pop,02/11/2003,"33,876","16,667","12,453","4,214","57,994","17,114,338",
91,On The Road Again,Willie Nelson,ORCH,Country,10/31/1995,"33,795",21,9,12,"184,481","22,988,557",
92,Elvis' Christmas Album,Elvis Presley,FRIM,Holiday/Seasonal,09/01/1989,"33,683","3,249",371,"2,878","77,239","34,064,843",
93,Andy Williams Christmas Album,Andy Williams,COL,Holiday/Seasonal,08/24/2004,"33,513","7,584","3,638","3,946","53,396","30,884,270",
94,White Christmas,Elvis Presley,RCA,Holiday/Seasonal,09/26/2000,"32,915",177,177,,"69,342","38,705,418",
95,White Christmas With Bing Cros,White Christmas,ORCH,Holiday/Seasonal,08/28/2012,"32,901",1,1,,"54,442","41,184,154",
96,12 Nights Of Christmas,R. Kelly,RCA,Holiday/Seasonal,10/21/2016,"32,882","30,533","23,327","7,206","6,608","2,531,676",
97,Christmas Album,Bing Crosby,UME,Holiday/Seasonal,08/09/1994,"32,781",372,70,302,"57,884","39,931,422",
98,That's Christmas To Me,Pentatonix,RCA,Holiday/Seasonal,11/14/2011,"32,580",,,,"325,804",,
99,40 Christmas Classics,Andy Williams,COL,Holiday/Seasonal,11/04/2014,"32,227","1,122",,"1,122","64,983","36,909,407",
100,What A Night! A Christmas Albu,"Connick, Harry Jr.",COL,Holiday/Seasonal,11/04/2008,"31,077","26,821","24,771","2,050","4,548","5,700,903",
101,Holiday Wishes,Idina Menzel,WAR,Holiday/Seasonal,10/10/2014,"30,746","20,870","17,788","3,082","24,523","11,135,866",
102,Christmas Celebration,Mannheim Steamroller,AMG,Holiday/Seasonal,07/20/2004,"30,691","21,070","19,476","1,594","30,659","9,832,548",
103,My Kind Of Christmas,Reba,BGMA,Holiday/Seasonal,08/21/2016,"30,597","29,182","29,182",,"12,900","187,456",
104,Christmas: What's It Gonna Be,Chicago,RHI,Holiday/Seasonal,10/14/2003,"30,495","29,668","28,968",700,"1,637","994,348",
105,Christmas & Chill,Ariana Grande,R-RR,Holiday/Seasonal,12/18/2015,"30,446","8,231",,"8,231","16,320","30,874,890",
106,White Christmas Blue,Loretta Lynn,LEGC,Holiday/Seasonal,10/07/2016,"30,109","29,423","28,133","1,290","3,495","505,008",
107,My Christmas,Andrea Bocelli,VERV,Holiday/Seasonal,10/27/2009,"30,094","25,021","21,722","3,299","10,064","6,099,285",
108,Christmas Collection,Jackson 5,MOT,Holiday/Seasonal,09/23/2003,"30,055","8,924","8,916",8,"30,817","27,074,095",
109,Christmas Party,She & Him,COL,Holiday/Seasonal,10/28/2016,"29,796","24,513","16,157","8,356","8,325","6,676,829",
110,Christmas Attic,Trans-Siberian Orchestra,ATLG,Holiday/Seasonal,09/15/1998,"29,612","19,921","16,771","3,150","55,316","6,239,856",
111,A Bing Crosby Christmas,Bing Crosby,INDI,Holiday/Seasonal,11/19/2012,"29,537",18,,18,"49,025","36,925,115",
112,Christmas Cheers,Straight No Chaser,ATLG,Holiday/Seasonal,11/03/2009,"28,968","13,478","7,999","5,479","42,602","16,845,820",
113,Christmas Album,Barbra Streisand,COL,Holiday/Seasonal,09/09/1977,"28,507","26,682","25,303","1,379","6,792","1,718,624",
114,30/40,Mannheim Steamroller,AMG,Holiday/Seasonal,10/21/2014,"28,382","18,197","17,516",681,"29,646","10,829,744",
115,Bing Crosby Christmas,Bing Crosby Christmas,ORCH,Holiday/Seasonal,07/01/2003,"28,365",1,,1,"48,302","35,301,216",
116,Christmas Time,Christmas Time,ZEBR,Holiday/Seasonal,03/21/2006,"28,338",,,,"66,118","32,588,953",
117,Christmas Album,Andy Williams,LALI,Holiday/Seasonal,07/11/1986,"28,223",144,63,81,"55,656","33,769,770",
118,Christmas & New Year's Eve Wit,Frank Sinatra,,Holiday/Seasonal,11/24/2008,"27,994",,,,"45,641","35,145,338",
119,Sings Christmas Songs,Bing Crosby,UME,Holiday/Seasonal,09/01/1990,"27,764",13,13,,"55,160","33,353,165",
120,Christmas With Dino,Dean Martin,CAP,Holiday/Seasonal,09/21/2004,"27,748","2,289",64,"2,225","52,031","30,384,363",
121,James Taylor At Christmas,James Taylor,UME,Holiday/Seasonal,10/30/2006,"27,560","21,857","17,478","4,379","8,775","7,238,911",
122,Elvis Christmas Album,Elvis Presley,,Holiday/Seasonal,12/11/2007,"27,243",4,4,,"60,704","31,753,236",
123,Happy Holiday,Happy Holiday,PIP ,Holiday/Seasonal,11/19/1992,"26,795",1,1,,"45,485","33,368,213",
124,Christmas Extraordinaire,Mannheim Steamroller,AMG,Holiday/Seasonal,10/23/2001,"26,788","24,348","23,606",742,"4,198","3,030,346",
125,Christmas Is So Special,Ferrante & Teicher,CAP,Holiday/Seasonal,10/24/2000,"26,675",69,3,66,"93,859","25,829,497",
126,Miracles-holiday Album,Kenny G,RCA,Holiday/Seasonal,09/27/1994,"26,567","22,219","20,743","1,476","6,882","5,489,906",
127,Soundtrack,This Christmas,RCA,Holiday/Seasonal,11/20/2007,"26,537","5,921","4,527","1,394","78,082","19,212,118",
128,Classic Christmas Album,Andy Williams,COL,Holiday/Seasonal,10/08/2013,"26,373","6,210","5,724",486,"47,082","23,181,586",
129,Christmas,Francesca Battistelli,CURB,Holiday/Seasonal,10/16/2012,"26,233","22,132","20,122","2,010","16,681","3,649,119",
130,Soundtrack,Nightmare Before Christmas,DBV,Holiday/Seasonal,10/12/1993,"26,075","6,647","6,647",,"70,305","18,595,814",
