Rank,Title,Artist,Label,Core Genre,Release Date,Albums w/TEA w/SEA On-Demand Audio - YTD,Albums Sales - YTD,Physical Albums Sales - YTD,Digital Albums Sales - YTD,Digital Song Sales - YTD,Streaming On-Demand Audio - YTD,
1,Adore: Christmas Songs Of Wor,Chris Tomlin,SXSP,Holiday/Seasonal,10/23/2015,"162,621","154,952","120,095","34,857","56,433","3,038,336",
2,Charlie Brown Christmas,Vince Guaraldi Trio,FAN,Children,09/01/1990,"117,850","94,879","67,757","27,122","74,588","23,268,214",
3,Merry Christmas,Mariah Carey,COL,Holiday/Seasonal,09/20/1994,"114,795","63,572","38,304","25,268","264,377","37,177,496",
4,Christmas Hits,Christmas Hits,PID,Holiday/Seasonal,11/23/2004,"104,928",16,6,10,"547,235","75,282,837",
5,It's Christmas Time,Elvis Presley,SMCM,Holiday/Seasonal,09/14/1999,"96,410","79,569","79,569",,"62,832","15,837,998",
6,These Are Special Times,Celine Dion,COL,Holiday/Seasonal,11/03/1998,"95,000","57,621","50,523","7,098","253,959","17,973,472",
7,Mercyme It's Christmas,MercyMe,FTS,Holiday/Seasonal,10/09/2015,"82,665","78,903","67,725","11,178","25,197","1,864,090",
8,Merry Xmas,Merry Xmas,HIPD,Holiday/Seasonal,09/13/2005,"75,599",14,,14,"311,831","66,602,343",
9,Johnny Cash,Johnny Cash,,Country,03/23/1999,"75,372",572,572,,"452,116","44,383,354",
10,Icon Christmas,Frank Sinatra,CAP,Holiday/Seasonal,09/10/2013,"70,696","47,035","25,798","21,237","68,887","25,157,535",
11,Christmas Songs By Sinatra,Frank Sinatra,COL,Holiday/Seasonal,09/13/1994,"70,464","48,792","47,335","1,457","57,952","23,815,654",
12,Live,Mannheim Steamroller,AMG,Holiday/Seasonal,10/16/2015,"67,883","60,842","60,015",827,"36,299","5,116,709",
13,White Christmas,Bing Crosby,INT,Holiday/Seasonal,09/01/1990,"67,065","37,081","25,054","12,027","101,219","29,792,487",
14,Classic Christmas Album,Elvis Presley,RCA,Holiday/Seasonal,10/02/2012,"66,180","44,241","38,139","6,102","87,593","19,769,461",
15,Holidays & Hits,Frank Sinatra,,Holiday/Seasonal,10/20/2009,"65,259",,,,"247,365","60,783,150",
16,Under The Mistletoe,Justin Bieber,DEF,Holiday/Seasonal,11/01/2011,"63,368","32,576","10,580","21,996","83,001","33,737,879",
17,Elvis: Ultimate Christmas,Elvis Presley,SMCM,Holiday/Seasonal,08/05/2015,"63,007","43,460","43,460",,"71,102","18,654,945",
18,Christmas Eve & Other Stories,Trans-Siberian Orchestra,LAVA,Holiday/Seasonal,10/15/1996,"60,637","41,494","28,988","12,506","116,106","11,297,947",
19,Lost Christmas Eve,Trans-Siberian Orchestra,LAVA,Holiday/Seasonal,10/12/2004,"60,406","50,019","44,819","5,200","52,329","7,732,353",
20,Family Christmas,Piano Guys,SNYC,Holiday/Seasonal,10/22/2013,"58,800","50,647","35,892","14,755","19,858","9,251,369",
21,Michael Buble,Michael Buble,WAR,Pop,02/11/2003,"58,146","42,278","37,367","4,911","83,648","11,255,911",
22,Christmas Collection,Bing Crosby,INT,Holiday/Seasonal,09/09/1991,"57,449","37,534","36,166","1,368","66,960","19,828,470",
23,Merry Christmas Love Elvis,Elvis Presley,RCA,Rock,08/06/2013,"54,714","42,038","42,038",,"48,726","11,704,955",
24,Johnny Mathis: 50th Anniv Chri,Johnny Mathis,COL,Holiday/Seasonal,10/31/2006,"51,920","45,748","45,322",426,"18,653","6,459,698",
25,Christmas Attic,Trans-Siberian Orchestra,ATLG,Holiday/Seasonal,09/15/1998,"51,771","42,731","38,759","3,972","64,994","3,810,786",
26,My Christmas,Andrea Bocelli,VERV,Holiday/Seasonal,10/27/2009,"51,456","48,566","42,915","5,651","15,234","2,050,719",
27,Christmas,Francesca Battistelli,CURB,Holiday/Seasonal,10/16/2012,"51,364","46,708","42,871","3,837","26,158","3,061,405",
28,Soundtrack,Fred Claus,WAR,Holiday/Seasonal,11/13/2007,"49,583",607,140,467,"347,378","21,357,423",
29,Christmas Song,Nat King Cole,CAP,Holiday/Seasonal,10/10/1986,"49,506","27,236","14,006","13,230","66,753","23,391,267",
