Rank,Title,Artist,Label,Core Genre,Release Date,Albums w/TEA w/SEA On-Demand Audio - YTD,Albums Sales - YTD,Physical Albums Sales - YTD,Digital Albums Sales - YTD,Digital Song Sales - YTD,Streaming On-Demand Audio - YTD,
30,Rudolph The Red-nosed Reindeer,Burl Ives,INT,Holiday/Seasonal,10/10/1995,"48,286","37,537","34,646","2,891","47,930","8,933,385",
31,White Christmas,Martina McBride,RLSG,Holiday/Seasonal,09/29/1998,"47,706","39,711","34,359","5,352","44,550","5,309,422",
32,Holiday Wishes,Idina Menzel,WAR,Holiday/Seasonal,10/10/2014,"46,773","39,028","32,013","7,015","42,072","5,306,784",
33,Christmas Portrait,Carpenters,AAM,Holiday/Seasonal,08/24/1987,"46,512","35,923","27,011","8,912","36,587","10,394,513",
34,Home For The Holidays,Darius Rucker,CAPN,Holiday/Seasonal,10/27/2014,"45,496","41,321","34,236","7,085","19,622","3,319,899",
35,Christmas Trilogy,Trans-Siberian Orchestra,ATLG,Holiday/Seasonal,11/02/2004,"45,343","8,875","6,796","2,079","221,900","21,417,369",
36,"Cheers, It's Christmas",Blake Shelton,WAR,Holiday/Seasonal,09/18/2012,"45,050","39,241","34,844","4,397","23,142","5,242,986",
37,Peace On Earth,Casting Crowns,REUN,Christian/Gospel,01/01/2000,"44,655","39,993","31,963","8,030","24,942","3,250,881",
38,Classic Christmas Album,Frank Sinatra,COL,Holiday/Seasonal,10/07/2014,"44,465","11,204","10,888",316,"86,443","36,925,369",
39,A Jolly Christmas From Frank Sinatra,Frank Sinatra,CAP,Holiday/Seasonal,11/11/1987,"43,161","17,732","9,091","8,641","68,221","27,909,853",
40,Best Of Temptations Christmas,Temptations,MOT,Holiday/Seasonal,10/30/2001,"43,096","38,001","35,704","2,297","24,358","3,989,219",
41,Personal Christmas Collection,Andy Williams,COL,Holiday/Seasonal,08/09/1994,"43,051","30,888","30,715",173,"45,798","11,375,594",
42,Once Upon A Christmas,Kenny Rogers & Dolly Parton,RLSG,Holiday/Seasonal,10/27/1992,"42,809","38,965","32,268","6,697","28,050","1,558,425",
43,Christmas Classics,Bing Crosby,CAP,Holiday/Seasonal,10/24/1988,"42,663","19,860","3,815","16,045","62,376","24,849,140",
44,That's Christmas To Me,Pentatonix,RCA,Holiday/Seasonal,11/14/2011,"41,625",,,,"416,252",,
45,Holidays & Hits,Nat King Cole,CAP,Holiday/Seasonal,10/20/2009,"41,622",418,,418,"198,234","32,070,615",
46,Christmas & Chill,Ariana Grande,R-RR,Holiday/Seasonal,12/18/2015,"41,291","32,538",,"32,538","26,170","9,204,419",
47,Dreams Of Fireflies (on A Chri,Trans-Siberian Orchestra,R-LA,Holiday/Seasonal,10/30/2012,"41,147","40,694","39,361","1,333","3,486","156,448",
48,Holidays & Hits,Dean Martin,CAP,Holiday/Seasonal,10/20/2009,"40,869",2,,2,"226,723","27,291,461",
49,Home For Christmas,'N Sync,RCA,Holiday/Seasonal,11/10/1998,"40,392","29,856","23,798","6,058","32,557","10,919,741",
50,Magic Christmas,Magic Christmas,ORCH,Holiday/Seasonal,09/07/1992,"39,937",16,15,1,"156,252","36,443,243",
51,Bing Crosby Christmas,Bing Crosby,SONO,Holiday/Seasonal,10/01/1999,"39,415","21,232","21,219",13,"55,859","18,895,274",
52,Blue Christmas,Elvis Presley,RCA,Holiday/Seasonal,07/14/1992,"38,535","16,609","16,609",,"88,359","19,635,178",
53,30/40,Mannheim Steamroller,AMG,Holiday/Seasonal,10/21/2014,"38,523","30,415","29,320","1,095","38,795","6,342,229",
54,Today Is Christmas,LeAnn Rimes,KBLT,Holiday/Seasonal,10/16/2015,"37,702","35,741","31,532","4,209","16,060","533,166",
55,Christmas With Friends,India.Arie,MOT,Holiday/Seasonal,11/04/2014,"37,576","36,194","27,875","8,319","7,783","905,388",
56,Christmas With The Rat Pack,Rat Pack,CAP,Holiday/Seasonal,08/24/2010,"36,509","8,454",66,"8,388","89,278","28,691,472",
57,Once Again It's Christmas,Kenny Rogers,WAR,Holiday/Seasonal,08/07/2015,"35,927","34,941","32,726","2,215","8,631","183,894",
58,The Gift,Susan Boyle,COL,Holiday/Seasonal,09/28/2010,"35,363","33,667","33,137",530,"9,324","1,145,607",
59,Merry Christmas Ii You,Mariah Carey,DEF,Holiday/Seasonal,11/02/2010,"34,402","15,931","11,480","4,451","19,015","24,854,911",
60,Soundtrack,Polar Express,WAR,Holiday/Seasonal,11/02/2004,"33,418","10,444","5,237","5,207","100,508","19,384,206",
61,Christmas Album,Frank Sinatra,MSI,Holiday/Seasonal,01/20/1998,"32,862",,,,"94,530","35,113,250",
62,Elvis Christmas,Elvis Presley,RCA,Holiday/Seasonal,10/03/2006,"32,839","11,855","11,685",170,"85,332","18,676,244",
63,Christmas Songs,Frank Sinatra,,Holiday/Seasonal,08/31/2004,"32,505",,,,"86,278","35,815,293",
64,Christmas Extraordinaire,Mannheim Steamroller,AMG,Holiday/Seasonal,10/23/2001,"32,434","30,878","30,106",772,"4,945","1,592,939",
65,Christmas Celebration,Mannheim Steamroller,AMG,Holiday/Seasonal,07/20/2004,"31,949","24,325","22,772","1,553","39,594","5,497,024",
66,Christmas In Concert,John Denver,RCA,Holiday/Seasonal,09/25/2001,"31,688","10,256","10,256",,"188,708","3,842,394",
67,Christmas Collection,Burl Ives,INT,Holiday/Seasonal,09/23/2003,"31,533","19,875","19,875",,"51,989","9,688,793",
68,Christmas In Tahoe,Train,SUNK,Holiday/Seasonal,11/13/2015,"31,157","27,347","24,112","3,235","9,255","4,326,090",
69,Christmas: What's It Gonna Be,Chicago,RHI,Holiday/Seasonal,10/14/2003,"30,482","29,597","28,752",845,"2,713","920,868",
70,Christmas Together,John Denver & The Muppets,WDPD,Holiday/Seasonal,09/01/1992,"30,462","27,440","22,762","4,678","11,015","2,881,121",
71,Holiday Spirits,Straight No Chaser,ATLG,Holiday/Seasonal,10/28/2008,"30,363","24,984","21,483","3,501","32,507","3,193,340",
72,Canm-alabama-christmas,Alabama,SMCM,Holiday/Seasonal,01/01/1999,"30,300","26,182","22,472","3,710","26,084","2,264,538",
73,Full Of Cheer,Home Free,COL,Holiday/Seasonal,10/27/2014,"30,249","27,325","17,650","9,675","22,838","959,063",
74,Christmas Cheers,Straight No Chaser,ATLG,Holiday/Seasonal,11/03/2009,"30,141","18,855","10,494","8,361","59,694","7,975,611",
75,Christmas With Bing,Bing Crosby,CAP,Holiday/Seasonal,09/08/1992,"30,045",1,1,,"113,449","28,048,163",
76,Miracles-holiday Album,Kenny G,RCA,Holiday/Seasonal,09/27/1994,"29,807","27,192","25,758","1,434","7,918","2,734,538",
77,Rockin Rudolph,Brian Setzer,SURF,Holiday/Seasonal,10/16/2015,"29,777","28,730","20,450","8,280","7,377","464,538",
78,If Every Day Was Like Christma,Elvis Presley,RCA,Holiday/Seasonal,10/11/1994,"29,028","1,161","1,161",,"120,275","23,758,768",
79,Christmas Peace,Elvis Presley,RCA,Holiday/Seasonal,11/04/2003,"28,933",750,750,,"138,420","21,511,192",
80,Coolest Yule Ever,Coolest Yule Ever,DELT,Holiday/Seasonal,10/09/2007,"28,721",1,1,,"107,501","26,954,361",
81,Soundtrack,This Christmas,RCA,Holiday/Seasonal,11/20/2007,"28,661","7,319","5,624","1,695","121,796","13,743,734",
82,Voice Of Christmas,Bing Crosby,INT,Holiday/Seasonal,10/06/1998,"28,641","1,376",962,414,"97,241","26,310,793",
83,Honky Tonk Christmas,Alan Jackson,RLSG,Holiday/Seasonal,10/12/1993,"28,368","27,109","26,470",639,"7,006","838,195",
84,Holiday Collection,Kenny G,RCA,Holiday/Seasonal,06/18/2006,"28,187","26,759","26,759",,"3,873","1,561,866",
85,Christmas Is Here,Danny Gokey,BMGM,Holiday/Seasonal,10/16/2015,"27,975","25,812","20,549","5,263","18,754","431,478",
86,Classic Christmas Album,Kenny G,RCA,Holiday/Seasonal,10/02/2012,"27,884","23,096","19,783","3,313","11,498","5,457,944",
87,What A Night! A Christmas Albu,"Connick, Harry Jr.",COL,Holiday/Seasonal,11/04/2008,"27,827","24,468","22,033","2,435","5,752","4,175,247",
88,Santa Claus Music Puzzle,Countdown Kids,SONO,Holiday/Seasonal,11/05/2014,"27,685","27,685","27,685",,,,
89,On The Road Again,Willie Nelson,ORCH,Country,10/31/1995,"27,633",136,96,40,"192,024","12,442,151",
90,Its A Holiday Soul Party,Sharon Jones & The Dap-Kings,DPTN,Holiday/Seasonal,10/30/2015,"27,540","25,583","18,919","6,664","8,293","1,691,041",
91,Elvis' Christmas Album,Elvis Presley,FRIM,Holiday/Seasonal,09/01/1989,"27,348","5,656",612,"5,044","99,392","17,629,144",
92,Christmas Collection,Gaither Vocal Band,SPHS,Holiday/Seasonal,09/06/2015,"27,225","26,560","26,031",529,"5,287","204,391",
93,Classic Christmas Album,Sarah McLachlan,RCA,Holiday/Seasonal,10/02/2015,"27,033","18,822","15,877","2,945","40,258","6,276,902",
94,Holiday Album,Whitney Houston,RCA,Holiday/Seasonal,11/18/2003,"27,005","22,826","20,164","2,662","19,488","3,344,797",
95,Chipmunks Christmas,Alvin & The Chipmunks,CAP,Holiday/Seasonal,09/25/2012,"26,921","20,693","15,686","5,007","24,318","5,694,664",
96,Sinatra Christmas Album,Frank Sinatra,WAR,Holiday/Seasonal,10/18/1994,"26,839",32,32,,"71,532","29,480,016",
97,Christmas Offerings,Third Day,BREN,Holiday/Seasonal,10/10/2006,"26,321","20,410","16,082","4,328","33,724","3,807,222",
98,Classic Christmas Album,Andy Williams,COL,Holiday/Seasonal,10/08/2013,"25,647","13,606","12,826",780,"46,590","11,073,596",
99,Classic Christmas Album,Martina McBride,RLSG,Holiday/Seasonal,10/08/2013,"25,465","17,559","15,998","1,561","42,579","5,472,530",
100,Jolly Christmas: 50th Anniv.,Frank Sinatra,,Holiday/Seasonal,09/18/2007,"25,427",,,,"68,203","27,909,760",
101,The Spirit Of Christmas,Michael W. Smith,SPAR,Holiday/Seasonal,09/30/2014,"25,189","22,411","15,773","6,638","15,126","1,898,500",
102,Jolly Christmas,Frank Sinatra,,Holiday/Seasonal,11/07/1995,"25,084",,,,"64,817","27,903,258",
103,Rocky Mountain Christmas,John Denver,RCA,Holiday/Seasonal,09/01/1992,"25,018","22,400","21,004","1,396","11,031","2,272,084",
104,Christmas Album,Barbra Streisand,COL,Holiday/Seasonal,09/09/1977,"24,802","23,531","22,051","1,480","7,815","734,204",
105,Christmas Is So Special,Ferrante & Teicher,CAP,Holiday/Seasonal,10/24/2000,"24,256",90,2,88,"133,248","16,262,043",
106,Merry Christmas,Bing Crosby,INT,Holiday/Seasonal,09/06/1994,"24,116","2,735","2,735",,"81,261","19,882,007",
107,Braxton Family Christmas,Braxtons,DEF,Holiday/Seasonal,10/30/2015,"24,020","22,240","9,981","12,259","8,823","1,347,251",
108,Andy Williams Christmas Album,Andy Williams,COL,Holiday/Seasonal,08/24/2004,"24,010","8,777","3,628","5,149","54,342","14,698,692",
109,Merry Christmas Baby,Rod Stewart,VERV,Holiday/Seasonal,10/30/2012,"23,979","21,187","18,997","2,190","9,148","2,815,011",
110,Essential Exclusive,Christmas,COL,Holiday/Seasonal,10/15/2002,"23,916",2,2,,"94,850","21,643,453",
111,Christmas Song,Mannheim Steamroller,AMG,Holiday/Seasonal,10/09/2007,"23,709","22,228","22,036",192,"3,670","1,670,324",
112,Rudolph The Red Nosed Reindeer,Gene Autry,CLNV,Holiday/Seasonal,10/11/1994,"23,642","14,996","14,122",874,"33,438","7,953,454",
113,Christmas Songs,Bing Crosby,VIN,Holiday/Seasonal,10/18/1994,"23,510",,,,"86,211","22,332,867",
114,The Holiday Collection,Taylor Swift,BGMA,Holiday/Seasonal,10/16/2007,"23,491","18,602","7,875","10,727","42,024","1,029,192",
115,Christmas With Bing Crosby,Bing Crosby,ORCH,Holiday/Seasonal,06/19/1984,"23,460",639,625,14,"82,338","21,880,826",
116,Christmas & New Year's Eve Wit,Frank Sinatra,,Holiday/Seasonal,11/24/2008,"23,411",,,,"75,727","23,756,988",
117,Very She & Him Christmas,She & Him,,Holiday/Seasonal,10/25/2011,"23,289","16,937","9,659","7,278","8,804","8,206,890",
118,Christmas With The Drifters,Drifters,SBSM,Holiday/Seasonal,08/01/1999,"23,224",129,111,18,"154,291","11,499,654",
119,Soundtrack,Jingle All The Way,ORCH,Holiday/Seasonal,11/26/1996,"23,052",49,49,,"91,420","20,790,829",
120,Classic Christmas Album,Luther Vandross,EPIC,Holiday/Seasonal,10/02/2012,"22,937","19,083","17,012","2,071","15,641","3,434,589",
121,Christmas Symphony Ii,Mannheim Steamroller,AMG,Holiday/Seasonal,10/15/2013,"22,712","15,296","13,029","2,267","34,528","5,945,366",
122,Christmas Song (mastered F,Nat King Cole,,Holiday/Seasonal,11/21/2011,"22,485",,,,"65,943","23,836,215",
123,Best Of/20th Century,Four Tops,MOT,Holiday/Seasonal,09/13/2005,"22,417",530,530,,"141,978","11,534,714",
124,White Christmas,Elvis Presley,RCA,Holiday/Seasonal,09/26/2000,"22,170",269,269,,"88,261","19,612,386",
125,Soundtrack,Nightmare Before Christmas,DBV,Holiday/Seasonal,10/12/1993,"22,004","4,552","4,552",,"97,915","11,490,429",
126,Christmas Album,Bing Crosby,UME,Holiday/Seasonal,08/09/1994,"21,182",886,82,804,"67,135","20,372,989",
127,Home For Christmas,Amy Grant,CURB,Holiday/Seasonal,10/01/1992,"21,008","14,251","6,054","8,197","34,462","4,966,076",
128,The Christmas Song,Nat King Cole,CAP,Holiday/Seasonal,08/12/1999,"20,863",,,,"66,528","21,314,891",
129,Ghosts Of Christmas Eve,Trans-Siberian Orchestra,ATLG,Holiday/Seasonal,10/21/2016,"20,820",,,,"149,906","8,744,765",
130,Kidz Bop Christmas Wish List,Kidz Bop Kids,RTKB,Holiday/Seasonal,10/07/2014,"20,551","18,652","15,152","3,500","5,175","2,072,616",
131,Very Best Of Bing Crosby Chris,Bing Crosby,INT,Holiday/Seasonal,10/05/1999,"20,010",95,47,48,"66,960","19,828,470",
132,White Christmas With Bing Cros,White Christmas,ORCH,Holiday/Seasonal,08/28/2012,"19,924",6,6,,"70,663","19,277,780",
133,Christmas Symphony,Mannheim Steamroller,AMG,Holiday/Seasonal,10/11/2011,"19,909","13,446","7,136","6,310","27,834","5,518,897",
134,Jingle Bells,Jingle Bells,MUZM,Holiday/Seasonal,04/25/1995,"19,813",28,3,25,"82,610","17,285,242",
135,40 Christmas Classics,Andy Williams,COL,Holiday/Seasonal,11/04/2014,"19,646","1,047",,"1,047","67,285","17,805,629",
136,Christmas Collection,Boyz II Men,MOT,Holiday/Seasonal,09/23/2003,"19,505","16,311","13,597","2,714","13,343","2,788,842",
137,Under The Influence: Holiday E,Straight No Chaser,ATLG,Holiday/Seasonal,10/22/2013,"19,419","13,543","10,029","3,514","19,987","5,815,394",
138,Christmas With Johnny Cash,Johnny Cash,CLNV,Holiday/Seasonal,08/24/2004,"19,353","18,139","18,139",,"4,031","1,216,183",
139,Christmas With Dino,Dean Martin,CAP,Holiday/Seasonal,09/21/2004,"19,298","3,488",71,"3,417","58,855","14,887,131",
140,Vol. 1-christmas With The Chip,Chipmunks,,Holiday/Seasonal,01/01/2001,"18,808","18,808","18,808",,,,
141,Luther Vandross Christmas,Luther Vandross,EPIC,Holiday/Seasonal,05/29/2007,"18,673","17,288","17,288",,"13,851",,
142,Elvis Christmas Album,Elvis Presley,,Holiday/Seasonal,12/11/2007,"18,653",12,12,,"78,372","16,205,317",
143,Perry Como Christmas,Perry Como,RCA,Holiday/Seasonal,09/25/2001,"18,632","12,404","12,185",219,"11,967","7,545,937",
144,Snowfall,Tony Bennett,COL,Holiday/Seasonal,09/25/2007,"18,593","14,062","12,829","1,233","7,171","5,720,384",
145,All I Want For Christmas Is A,Kenny Chesney,RLSG,Holiday/Seasonal,10/07/2003,"18,502","15,238","12,691","2,547","16,970","2,350,826",
146,Christmas,Kirk Franklin & The Family,GOSP,Holiday/Seasonal,10/03/1995,"18,307","13,858","12,544","1,314","23,219","3,190,521",
147,Home For Christmas,Susan Boyle,COL,Holiday/Seasonal,10/29/2013,"18,219","16,973","16,384",589,"4,392","1,209,653",
148,Ella & Louis Christmas,Ella Fitzgerald & Louis Armstrong,VERV,Holiday/Seasonal,11/25/2016,"17,955",,,,"179,549",,
149,Christmas,Michael Buble,WAR,Holiday/Seasonal,10/18/2011,"17,790",,,,"177,901",,
150,Christmas Collection,Jackson 5,MOT,Holiday/Seasonal,09/23/2003,"17,668","7,736","7,736",,"33,418","9,884,812",
151,Kidz Bop Christmas Party,Kidz Bop Kids,RTKB,Holiday/Seasonal,10/05/2010,"17,533","16,409","16,409",,"3,312","1,188,524",
152,God With Us,Laura Story,FTS,Holiday/Seasonal,10/09/2015,"17,518","16,887","15,331","1,556","4,034","340,777",
153,The Christmas Collection,Frank Sinatra,CAP,Holiday/Seasonal,12/03/2013,"17,409","1,517",,"1,517","48,044","16,631,574",
154,James Taylor At Christmas,James Taylor,UME,Holiday/Seasonal,10/30/2006,"17,283","14,109","7,855","6,254","11,458","3,041,289",
155,Music: Xmas,Glee Cast,COL,Holiday/Seasonal,11/16/2010,"17,236","5,877","1,256","4,621","43,002","10,588,536",
156,Joy To The World,Faith Hill,WAR,Holiday/Seasonal,09/16/2008,"17,143","14,311","10,834","3,477","18,006","1,548,099",
157,Harry For The Holidays,"Connick, Harry Jr.",COL,Holiday/Seasonal,10/28/2003,"17,142","15,295","14,033","1,262","4,390","2,111,996",
158,Classic Christmas Album,Alabama,RLSG,Holiday/Seasonal,10/08/2013,"17,114","10,058","9,396",662,"52,339","2,733,827",
159,Winter Came,Enya,WAR,Holiday/Seasonal,11/11/2008,"17,106","10,034","6,181","3,853","14,669","8,408,174",
160,Classic Christmas Album,Celtic Thunder,LEGC,Holiday/Seasonal,10/02/2015,"16,990","15,663","14,897",766,"4,559","1,306,376",
161,Happy Holiday,Happy Holiday,PIP ,Holiday/Seasonal,11/19/1992,"16,982",3,3,,"55,175","17,191,650",
162,Irish Tenors Christmas,Irish Tenors,RTRT,Holiday/Seasonal,10/06/2009,"16,745","16,607","16,532",75,"1,044","50,139",
163,A Bing Crosby Christmas,Bing Crosby,INDI,Holiday/Seasonal,11/19/2012,"16,730",21,,21,"57,045","16,506,894",
164,Christmas Collections,Amy Grant,AGGS,Holiday/Seasonal,09/30/2008,"16,584","8,285","6,896","1,389","43,372","5,942,495",
165,Bing Crosby Christmas,Bing Crosby Christmas,ORCH,Holiday/Seasonal,07/01/2003,"16,560",,,,"57,025","16,285,921",
166,Welcome To Trans-Siberian Orchestra,Trans-Siberian Orchestra,ATLG,Holiday/Seasonal,10/21/2016,"16,552",,,,"163,227","344,343",
167,Frank Sinatra Christmas Collec,Frank Sinatra,RHI,Holiday/Seasonal,10/26/2004,"16,476",579,579,,"48,058","16,636,327",
168,My Kind Of Christmas,Christina Aguilera,RCA,Holiday/Seasonal,10/24/2000,"16,457","9,439","7,009","2,430","22,534","7,147,492",
169,Sings Christmas Songs,Bing Crosby,UME,Holiday/Seasonal,09/01/1990,"16,374",14,5,9,"62,670","15,139,784",
170,Christmas Album,Andy Williams,LALI,Holiday/Seasonal,07/11/1986,"16,293",195,49,146,"56,756","15,633,568",
171,Soundtrack,Home Alone,SNYC,Holiday/Seasonal,11/30/1990,"16,233","5,406","1,892","3,514","52,360","8,386,600",
172,Christmas In Diverse City,tobyMac,FORE,Holiday/Seasonal,10/04/2011,"16,071","14,162","12,134","2,028","9,512","1,436,092",
173,My Kind Of Christmas,Dean Martin,CAP,Holiday/Seasonal,10/06/2009,"16,065",530,530,,"58,245","14,566,316",
174,A Un Ni+¦o Llorando - Christma,Quink Vocal Ensemble,ORCH,Holiday/Seasonal,11/03/2008,"16,044",1,,1,"110,358","7,510,949",
175,Merry Christmas,Johnny Mathis,COL,Holiday/Seasonal,09/09/1977,"15,960","10,461","4,200","6,261","22,417","4,886,935",
176,Holiday For Swing,Seth MacFarlane,R-RR,Holiday/Seasonal,09/30/2014,"15,921","12,033","6,671","5,362","11,365","4,127,113",
177,Swingin' Christmas,Tony Bennett,COL,Holiday/Seasonal,10/14/2008,"15,916","10,640","10,255",385,"6,690","6,910,374",
178,Soundtrack,Best Man Holiday,RCA,Holiday/Seasonal,10/29/2013,"15,866","5,983","3,329","2,654","49,657","7,375,844",
179,Vol. 2,Joy Of Christmas,RCA,Holiday/Seasonal,09/06/1995,"15,761",,,,"77,160","12,067,003",
180,December,George Winston,RCA,Holiday/Seasonal,08/19/1983,"15,747","10,310","3,017","7,293","9,910","6,669,161",
181,Making Spirits Bright,Dean Martin,CAP,Holiday/Seasonal,09/08/1998,"15,714",35,35,,"58,587","14,730,852",
182,Wintersong,Sarah McLachlan,RCA,Holiday/Seasonal,09/22/2006,"15,551","9,823","4,468","5,355","22,371","5,235,820",
183,Classic Christmas Album,Perry Como,RCA,Holiday/Seasonal,10/07/2014,"15,448","7,630","7,430",200,"16,827","9,203,314",
184,Christmas Collection,Brenda Lee,MCAN,Holiday/Seasonal,09/23/2003,"15,434","1,051",49,"1,002","73,492","10,551,284",
185,Jingle Bell Rock,Brenda Lee,INT,Holiday/Seasonal,09/07/1993,"15,388","1,333",670,663,"71,694","10,327,347",
186,Happy Holidays,Happy Holidays,NOQR,Holiday/Seasonal,09/07/1993,"15,319",6,6,,"153,126",,
187,Home For Christmas,Dolly Parton,CLNV,Holiday/Seasonal,09/07/1990,"15,289","10,639","9,839",800,"29,941","2,483,286",
188,Rockin' Around The Christmas T,Brenda Lee,MCAN,Holiday/Seasonal,10/05/1999,"15,237",854,549,305,"73,492","10,551,284",
189,Christmas Sing-along,Various Artists,SONO,Holiday/Seasonal,12/17/2013,"15,191","15,191","15,191",,,,
190,Winter Romance,Dean Martin,CAP,Holiday/Seasonal,11/08/1989,"14,854","1,276",994,282,"52,608","12,475,347",
191,Ceelo's Magic Moment,Cee-Lo,NELK,Holiday/Seasonal,10/30/2012,"14,853","8,972","6,590","2,382","24,298","5,176,325",
192,Twisted Xmas-live In Las Vegas,Twisted Sister,EGRO,Holiday/Seasonal,10/30/2012,"14,784",131,90,41,"94,344","7,827,276",
193,Feliz Navidad,Jose Feliciano,RCA,Holiday/Seasonal,05/18/2004,"14,678","6,344","5,805",539,"46,244","5,563,869",
194,Brad Paisley Christmas,Brad Paisley,RLSG,Holiday/Seasonal,10/10/2006,"14,619","12,264","11,123","1,141","8,411","2,271,931",
195,Kids Christmas Favorites,Cooltime Kids,RTKB,Holiday/Seasonal,10/11/2011,"14,397","13,777","13,452",325,"2,676","529,866",
196,Christmas Kisses,Ariana Grande,R-RR,Holiday/Seasonal,12/17/2013,"14,388","4,886",,"4,886","22,627","10,859,092",
197,Christmas 25th,Mannheim Steamroller,AMG,Holiday/Seasonal,10/13/2009,"14,293","9,780","8,135","1,645","13,286","4,777,063",
198,Have A Holly Jolly Christmas,Burl Ives,INT,Holiday/Seasonal,09/01/1990,"14,203","3,419","1,851","1,568","48,314","8,928,905",
199,Songs Of The Season,Randy Travis,CURB,Holiday/Seasonal,09/25/2007,"14,167","13,976","13,726",250,970,"141,150",
200,Jackson 5 Christmas Album,Jackson 5,UME,Holiday/Seasonal,09/03/1991,"14,035","4,263",724,"3,539","33,177","9,681,652",
